Indicator,Definition,Notes,Disclosure,Justification,References,Score
Release stages,Are the stages of the model's release disclosed?,"Release stages include A/B testing, release on a user-facing product, GA release, open-weight release, etc.  We recognize that the release of a foundation model falls along a spectrum, with many forms of partial release, and that different developers may conceptualize release differently. We will award a point if the developer provides a clear identification of the stages through which the model was released.","Beta customers mentioned in blog post (URL: https://mistral.ai/news/mistral-medium-3)
API availability timeline mentioned (URL: https://mistral.ai/news/mistral-medium-3)
Release date in changelog (URL: https://docs.mistral.ai/getting-started/changelog/)","From pubic disclosures it's possible to infer certain release stages (e.g., Beta customers), but it's difficult interpret these as the full set of release stages.",,0
Risk thresholds,Are risk thresholds disclosed?,"Risk thresholds determine when a risk level is unacceptably high to a developer (e.g. leading to the decision to not release a model), moderately high (e.g. triggering additional safety screening), or low enough to permit normal usage.

We will award this point if the developer discloses explicit risk thresholds that clarify (i) which harmful outcomes are being scored, (ii) how the scores are computed (in general terms, not necessarily disclosing internal algorithms), and (iii) what triggers an action to block, delay, or otherwise modify a model's release. 

Alternatively, we will award a point if the developer discloses that it does not consider explicit risk thresholds during model release. ",,No information provided about risk thresholds.,,0
Versioning protocol,Is there a disclosed protocol for versioning and deprecation of the model?,"We will award a point if the developer discloses how model versions are labeled, updated, deprecated, and communicated to users.","""Our model offering is continuously refreshed with newer, better models. As part of this process, we deprecate and retire older models. This document provides information about which models are currently available, deprecated, or retired.""

Naming based on dates: ""Our frontier-class multimodal model released May 2025. Learn more in our blog post         mistral-medium-2505""

Latest alias: ""mistral-medium-latest: currently points to mistral-medium-2505""","The developer versions models based on the date. However, they do not dislcose the deprecation/communication process.",Mistral Model Deprecation,0
Change log,Is there a disclosed change log for the model?,"We will award a point if the developer publishes a version-by-version record of new features, fixes, or performance improvements.","""Changelog
June 23, 2025

Mistral Small 3.2 API available (mistral-small-2506).

...""",The developer discloses a change log with fixes and feature changes.,Mistral Changelog,1
Foundation model roadmap,"Is a forward-looking roadmap for upcoming models, features, or products disclosed?","A foundation model roadmap is a transparent statement about how the developer intends to evolve or expand its LLM offerings, including upcoming models, major feature releases, or expanded products based on the model, along with approximate timelines or version milestones. It can be high-level (e.g., “new model Q2 2025”), but must exist publicly.","""With the launches of Mistral Small in March and Mistral Medium today, it’s no secret that we’re working on something ‘large’ over the next few weeks. With even our medium-sized model being resoundingly better than flagship open source models such as Llama 4 Maverick, we’re excited to ‘open’ up what’s to come :)""",The developer discloses a forward-looking roadmap describing two new releases.,"Mistral 3, News",1
Top distribution channels,Are the top-5 distribution channels for the model disclosed?,"We define distribution channels to be either an API provider (a pathway by which users can query the model with inputs and receive outputs) or a model distributor (a pathway by which model weights are released). We recognize that distribution channels may arise without the knowledge of the model developer. For example, the weights of a model may be released through one distribution channel and then be distributed through other channels.

Distribution channels can be ranked by any reasonable metric (e.g., number of queries, number of downloads, number of users, revenue). A description of the metric should be provided.

API providers and model distributors may be ranked separately using different metrics as long as the total number of distribution channels equals five (if five distribution channels exist). For example, the developer may choose to disclose the top-3 API providers (ranked by the number of queries) and the top-2 model distributors (ranked by the number of downloads).","""The Mistral Medium 3 API is available starting today on Mistral La Plateforme and Amazon Sagemaker, and soon on IBM WatsonX, NVIDIA NIM, Azure AI Foundry, and Google Cloud Vertex. To deploy and customize the model in your environment, please contact us.""","From public information, the developer has six API providers. To receive a point, the developer must list the top-5 in addition to the metric by which those top-5 were chosen.","Mistral 3, News",0
Quantization,Is the quantization of the model served to customers in the top-5 distribution channels disclosed?,We will award this point for a disclosure of the model precision in each of the top-5 distribution channels. ,,No information provided about quantization.,,0
Terms of use,Are the terms of use of the model disclosed?,"We define terms of use to include terms of service and model licenses. We will award this point for a pointer to the terms of service or model license.

In the event that model's licenses are written more generally, it should be clear which assets they apply to. We recognize that different developers may adopt different business models and therefore have different types of model licenses. Examples of model licenses include responsible AI licenses, open-source licenses, and licenses that allow for commercial use.

Terms of service should be disclosed for each of the top-5 distribution channels. However, we will award this point if there are terms-of-service that appear to apply to the bulk of the model’s distribution channels.",https://mistral.ai/terms#terms-of-service,The developer discloses the terms of service.,Mistral Terms of Service,1
Distribution channels with usage data,What are the top-5 distribution channels for which the developer has usage data?,"We define distribution channels to be either an API provider (a pathway by which users can query the model with inputs and receive outputs) or a model distributor (a pathway by which model weights are released). We recognize that distribution channels may arise without the knowledge of the model developer. For example, the weights of a model may be released through one distribution channel and then be distributed through other channels. 

Distribution channels can be ranked by any reasonable metric (e.g., number of queries, number of downloads, number of users, revenue). A description of the metric should be provided.


We define usage data as any form of developer-exclusive data collected from any of a developer's distribution channel. A developer has access to usage data from a distribution channel if it is able to use that data for downstream purposes (e.g., analytics, training etc.). Usage data may be shared outside of the developer, but it is initially collected by the distribution channel and shared to the developer.",Mistral terms of service mention how they collect and use user data from LeChat and API. ,"TOS clarify how usage data is handled for key distribution channels, but leaves out cloud providers","https://docs.mistral.ai/

https://mistral.ai/terms#terms-of-service",0
Amount of usage,"For each of the top-5 distribution channels, how much usage is there?","Usage should be reported as the number of queries over the span of a month, reported to the precision of one significant figure (e.g., 50 million queries).",No information provided,No information provided,https://docs.mistral.ai/,0
Classification of usage data,"Is a representative, anonymized dataset classifying queries into usage categories disclosed?","Developers may either share a fully public dataset or a partially restricted dataset (e.g., under a research license). We will award this point if there is a clear, aggregated or sample dataset that reveals categories of tasks/queries.",No information provided,No information provided,https://docs.mistral.ai/,0
Data retention and deletion policy,Is a policy for data retention and deletion disclosed?,"A data retention and deletion policy is a policy for removing particular data from the training set and/or preventing it from being used if there is a user or external request (e.g., “right to be forgotten”) that also covers internal data governance. This includes whether there is a formal process to delete or retract data from future training runs and how long raw data is retained. It also clarifies how quickly deletions propagate to the model (e.g., “only in subsequent major model releases”).","Requests to terminate. You can delete your account at any time by using the feature available on your account or, if unavailable, via our Help Center accessible on your account. ....

10.1 Return or destruction

After the end of the provision of the Mistral AI Products, Mistral AI will delete or return to Customer all Personal Data Processed on Customer’s behalf, in accordance with Mistral AI’s deletion policies and procedures. Customer acknowledges that the Personal Data will no longer be accessible upon the expiry of a thirty (30) days period following the termination of the Customer’s access to and use of the Mistral AI Products.",Unclear how deletions propogate to the model,https://mistral.ai/terms#terms-of-service,0
Geographic statistics,"Across all forms of downstream use, are statistics of model usage across geographies disclosed?","We will award this point if there is a meaningful, though potentially incomplete or vague, disclosure of geographic usage statistics at the country-level.",No information provided,No information provided,https://docs.mistral.ai/,0
Internal products and services,What are the top-5 internal products or services using the model?,"An internal product or service is a product or service built by the developer. Products or services can be ranked by any reasonable metric (e.g., number of users, queries, revenue). A description of the metric should be provided.","Website home page displays Le Platforme, Le Chat, Mistral Code, and Mistral Compute under products",Mistral's website lists 4 internal products/services,https://mistral.ai/,1
External products and services,What are the top-5 external products or services using the model?,"An external product or service is a product or service built by a party external to the developer. Products or services can be ranked by any reasonable metric (e.g., number of users, queries, revenue). A description of the metric should be provided.

We will award a point if the developer discloses that that it does not have access to such metrics about external products or services.",Mistral lists several partners on its website,"It is unclear if this is an exhaustive list, and the list is unranked","https://mistral.ai/news/mistral-medium-3, mistral.ai/partners",0
Users of internal products and services,How many monthly active users are there for each of the top-5 internal products or services using the model?,"An internal product or service is a product or service built by the developer. The number of users refers to users who engaged or interacted with the model through the internal product or service over the last month or averaged over the last X months (this should be specified). Number of users should be specified to one significant figure (e.g. 100,000).",Mistral states there are millions of users on Le Chat for Mistral OCR,"The number of users across internal products and services is not disclosed and  ""millions"" is not sufficiently precise to one signficant figure as required for Le Chat.","https://mistral.ai/news/mistral-ocr
",0
Consumer/enterprise usage,"Across all distribution channels for which the developer has usage data, what portion of usage is consumer versus enterprise?","Consumer usage refers to usage by individual consumers. Enterprise usage refers to usage by enterprise customers (including government use). Consumer and enterprise usage should be calculated in terms of the number of queries by or the amount of revenue from consumer or enterprise users. Percentages should be specified to two significant digits (e.g., 12% consumer, 88% enterprise).",No information provided,No information provided,https://docs.mistral.ai/,0
Enterprise users,"Across all distribution channels for which the developer has usage data, what are the top-5 enterprises that use the model?",Enterprises should be ranked by the number of queries made or the amount of revenue from usage since the model's release. We will also award this point if the developer indicates it does not have access to enterprise usage data.,No information provided,No information provided,mistral.ai/partners,0
Government use,What are the 5 largest government contracts for use of the model?,"This includes known government contracts of enterprise or government-specific products and services that use the model. We will award this point if the developer discloses its top five government contracts ranked monetary value, though the developer may omit contracts where it is under NDA regarding the existence of the contract.","General mention of defense partnerships: 'Trusted by departments of defense in multiple countries'; 
France Travail government partnership disclosed
",No information on the top 5 largest government contracts disclosed given other defense partnerships mentioned.,"https://mistral.ai/news/magistral, mistral.ai/solutions",0
Benefits Assessment,Is an assessment of the benefits of deploying the model disclosed?,We will award this point for any quantitative assessment of the benefits or potential benefits of deploying the model.,No information provided,No information provided,https://docs.mistral.ai/,0
AI bug bounty,Does the developer operate a public bug bounty or vulnerability reward program under which the model is in scope? ,"We will award this point for a publicly documented bug bounty or vulnerability reward program describing (i) in-scope vulnerabilities (e.g., prompt bypasses, data leaks), (ii) out-of-scope items, (iii) submission process, and (iv) reward tiers or recognition if applicable. We will award a point if the developer discloses it has no AI bug bounty that encourages external researchers to report security, privacy, or adversarial vulnerabilities in the model.","Terms of Service prohibit vulnerability testing: 'Compromise the security or proper functionality of the Mistral AI Products, including interfering with, circumventing, or bypassing security or moderation mechanisms in the Mistral AI Products or performing any vulnerability, penetration, or similar testing of the Mistral AI Products' ","Penetration testing is prohibited, therefore Mistral clarifies that there is no AI bug bounty",ttps://mistral.ai/terms,1
Responsible disclosure policy,Does the developer clearly define a process by which external parties can disclose model vulnerabilities or flaws? ,"We will award this point for a description of the process external parties can use for responsbly disclosing model vulnerabilities and flaws, which should include (i) what mechanism external parties can use to disclose vulnerabilities or flaws (e.g., a form, an email) and (ii) what process follows a disclosure (e.g., how much time must parties wait until public release). This is often included with a bug bounty, but can also be standalone. We will award a point if the developer discloses it has no responsible disclosure policy.","Terms of Service prohibit vulnerability testing: 'Compromise the security or proper functionality of the Mistral AI Products, including interfering with, circumventing, or bypassing security or moderation mechanisms in the Mistral AI Products or performing any vulnerability, penetration, or similar testing of the Mistral AI Products'","Penetration testing is prohibited, therefore Mistral clarifies that there is no responsible disclosure policy",https://mistral.ai/terms,1
Safe harbor,Does the developer disclose its policy for legal action against external evaluators conducting good-faith research? ,"We will award this point if the developer discloses whether it has a policy committing it to not pursue legal action against external evaluators conducting good-faith research. This should not be only for software security vulnerabilities, but also AI flaws, and it should be based on researcher conduct standards, not at the sole discretion of the company. We will award this point if the developer provides a clear description of its policy regarding such protections for external researchers, or lack thereof. ","Terms of Service prohibit vulnerability testing: 'Compromise the security or proper functionality of the Mistral AI Products, including interfering with, circumventing, or bypassing security or moderation mechanisms in the Mistral AI Products or performing any vulnerability, penetration, or similar testing of the Mistral AI Products'","Penetration testing is prohibited, therefore Mistral clarifies that there is no safe harbor for doing so responsibly",https://mistral.ai/terms,1
Security incident reporting protocol,Are major security incidents involving the model disclosed? ,"A security incident reporting protocol provides post-deployment transparency about serious incidents or breaches. Security incidents refer to incidents where external security threats affect the model (e.g., data breaches or DDoS attacks on the service). We will award this point if the developer states (i) how to submit a security incident report, (ii) how quickly it will respond, and (iii) when and whether results are disclosed.

Every incident need not be reported publicly, but the developer must disclose a policy determining how incidents are reported and disclosed.","One security incident disclosed in changelog regarding data exfiltration vulnerability in le Chat

Security incident notification requirement for specific access users: 'In the event of any unauthorized disclosure or access to our Mistral AI Products or their weights (each, a ""Security Incident""), you must immediately notify us at legal@mistral.ai'",Unclear when and whether results are disclosed,"https://docs.mistral.ai/getting-started/changelog/

https://mistral.ai/terms",0
Misuse incident reporting protocol,Are misuse incidents involving the model disclosed? ,"A misuse incident reporting protocol provides post-deployment transparency about incidents of misuse involving the model. As opposed to the previous indicator, this indicator is about actors misusing the model to cause real-world harm, such as misinformation operations or cybersecurity attacks. We will award this point if the developer states (i) how to submit a misuse incident report, (ii) how quickly it will respond, and (iii) when and whether results are disclosed.

Every incident need not be reported publicly, but there needs to be a policy governing how incidents are reported.",General content reporting mechanism via support@mistral.ai for illegal content violations ,Unclear when and whether results are disclosed,https://mistral.ai/terms,0
Post-deployment coordination with government,Does the developer coordinate evaluation with government bodies?,"We will award this point if the developer specifies which government bodies it is coordinating with and for what types of post-deployment evaluations. Government bodies include AI Safety Institutes, national security agencies, national labs, and international governmental enties such as UN agencies or the G7. Evaluation here may also include sharing of the developer's proprietary evaluation results for help with interpretation. ",No information provided,No information provided,https://docs.mistral.ai/,0
Feedback mechanisms,"Does the developer disclose a way to submit user feedback? If so, is a summary of major categories of feedback disclosed?","We will award this point if the developer (i) discloses how users can submit feedback (e.g., via a form or a thumbs up/thumbs down for model responses) and (ii) discloses aggregated or categorized feedback data (e.g. a categorization of thumbs up and thumbs down data). ","User feedback on the output, including ratings, comments, and suggestions.
Any automated feedback mechanisms or systems in place to collect and analyze user feedback.",No summary of feedback is disclosed,"https://help.mistral.ai/en/articles/323763-how-do-you-use-submitted-feedback

https://docs.mistral.ai/guides/observability/",0
"Permitted, restricted, and prohibited model behaviors","Are model behaviors that are permitted, restricted, and prohibited disclosed?","We refer to a policy that includes this information as a model behavior policy, or a developer's policy on what the foundation model can and cannot do (e.g. such a policy may prohibit a model from responding to NSFW content). We recognize that different developers may adopt different business models and that some business models may make enforcement of a model behavior policy more or less feasible. We will award this point if at least two of the three categories (i.e. permitted, restricted, and prohibited model behaviors) are disclosed. Alternatively, we will award this point if the developer reports that it does not impose any restrictions on its model's behavior in this way.",No information provided,No information provided,https://docs.mistral.ai/,0
Model response characteristics,Are desired model response characteristics disclosed?,"Model response characteristics include default behaviors or behaviors that the developer steers the model to take. These may include being helpful, taking an objective point of view, or using tools only when necessary. We will award points for a clear description of desired model response characteristics or a statement that there are no such characteristics.",No information provided,No information provided,https://docs.mistral.ai/,0
System prompt,Is the default system prompt for at least one distribution channel disclosed?,A system prompt is defined as the prompt provided to the system by default that guides the system's behavior. We will award this point for the disclosure of the verbatim text of the full system prompt as well as an explanation for the context in which the system prompt is used.,"The default prompt for Mistral Medium 3 is not provided, though it may be for other models (e.g. Magistral).",No default prompted provided for Mistral Medium 3.,https://docs.mistral.ai/capabilities/reasoning/,0
Intermediate tokens,Are intermediate tokens used to generate model outputs available to end users? ,"Intermediate tokens are defined as any tokens generated by the model before the final output is shown to the user, such as model chains of thought. We will also award this point if a summary of intermediate tokens is made available to end users. If intermediate tokens or summaries are not made available, the developer should provide a justification.",No information found,Unclear if there are intermediate tokens in medium 3,https://mistral.ai/news/mistral-medium-3,0
Internal product and service mitigations,"For internal products or services using the model, are downstream mitigations against adversarial attacks disclosed?","An internal product or service is a product or service built by the developer. Adversarial attacks include prompt injection, jailbreaking, or malicious queries. Mitigations against adversarial attacks might include specialized prompt filtering, content scanning, or real-time monitoring of queries or accounts. We will award this point if the developer discloses a clear statement of methods used (e.g., a specialized prompt sanitizer or adversarial pattern detector), or if the developer states it does not implement such product-level mitigations against adversarial attacks.",Le Chat mitigation against obfuscated prompt method for data exfiltration,Unclear what mitigations against adversarial attacks are implemented for medium 3,https://docs.mistral.ai/getting-started/changelog/,0
External developer mitigations,Does the developer provide built-in or recommended mitigations against adversarial attacks for downstream developers?,"Downstream developers are developers who access the model through a distribution channel. Adversarial attacks include prompt injection, jailbreaking, or malicious queries. Mitigations against adversarial attacks that developers might build in or recommend include content filtering endpoints and recommended prompt templates. We will award this point if the developer discloses (i) technical mitigations (e.g., a developer provided moderation API or classifier) it offers or implements, (ii) recommended best practices or libraries for downstream developers, or (iii) an explicit statement that it does not build or recommend any particular downstream mitigations in this way.. ","Mistral AI offers a ""safe mode"" in the API, which can be activated by setting the safe_mode parameter to true. When safe mode is activated, a system prompt is added to the original prompt. This increases control over outputs, preventing potentially risky or inappropriate content. Mistral also offers system prompt guidelines and documentation for its prefix technique to prevent jailbreaking","Mistral offers several external developer mitigations, including a safe mode in the API and guidelines for system prompts and jailbreak prevention","https://help.mistral.ai/en/articles/156210-how-can-i-activate-stricter-guardrails-on-mistral-ai-models

https://docs.mistral.ai/getting-started/customization/

https://docs.mistral.ai/guides/prefix/",1
Enterprise mitigations,Does the developer disclose additional or specialized mitigations for enterprise users?,"Enterprise users are, for example, large organizations with dedicated service agreements or users of enterprise-specific API deployments or products and services. Additional or specialized mitigations may address enterprise needs such as data privacy controls, advanced prompt/response monitoring, or compliance checks with regulations such as GDPR or HIPAA. Additional or specialized mitigations may include single-tenant deployments, custom filters for specific regulated industries, or advanced logging for compliance. We will award a point if the developer at least describes these mitigations or states that it does not provide such additional or specialized enterprise mitigations.","Secure Le Chat implementation allows enterprises to run Mistral's models on their own hardware
Le Chat Enterprise offers privacy-first data connections with strict ACL adherence and full data protection
Mistral provides HIPAA-compliant solutions for healthcare enterprises
GDPR compliance with EU-based data processing and Standard Contractual Clauses
Enterprise-grade security with technical and organizational measures listed in Trust Center",Mistral offers many enterprise mitigations related to security and data governance,"https://mistral.ai/news/le-chat-enterprise

https://mistral.ai/business/

https://mistral.ai/terms

https://mistral.ai/news/mistral-code",1
Detection of machine-generated content,Are mechanisms that are used for detecting content generated by this model disclosed?,"A mechanism for detecting machine-generated content might include storing a copy of all outputs generated by the model to compare against, implementing a watermark on model outputs, adding cryptographic metadata (such as C2PA), or training a detector post-hoc to identify such content. We will award this point if any such mechanism is disclosed or if the developer reports that it does not have or use any such mechanism.","Watermarking mechanism disclosed in Terms of Service: 'You acknowledge that we implement security measures, such as watermarking, for each Model provided to users whose subscriptions include Specific Access to ensure the Model's traceability.'",Watermarking is disclosed,https://mistral.ai/terms,1
Documentation for responsible use,Does the developer provide documentation for responsible use by downstream developers?,"To receive a point, the developer should provide documentation for responsible use. This might include details on how to adjust API settings to promote responsible use, descriptions of how to implement mitigations, or guidelines for responsible use. We will also award this point if the developer states that it does not provide any such documentation. For example, the developer might state that the model is offered as is and downstream developers are accountable for using the model responsibly.","Moderation API suggests several practices developers can take on: 
Guardrailing documentation with safe_prompt parameter and moderation API
Model customization guidelines including safety evaluations and ethical data practices
La Plateforme safety controls and responsible AI deployment features",Mistral provides documentation for responsible use across several different surfaces,"https://docs.mistral.ai/capabilities/guardrailing/

https://docs.mistral.ai/getting-started/customization/

https://mistral.ai/products/la-plateforme",1
Permitted and prohibited users,Is a description of who can and cannot use the model on the top-5 distribution channels disclosed?,We will award this point for a description of the company's policies for permitted and prohibitted users on its top-5 distribution channels. We will award this point if the developer has a more general acceptable use policy that it confirms applies across these distribution channels. We will award this point if there are no restrictions on users.,"Mistral Terms of Service has information about prohibited users (e.g., people less than 13 years of age are not allowed)",TOS includes age restrictions,https://mistral.ai/terms#terms-of-service,1
"Permitted, restricted, and prohibited uses","Which uses are explicitly allowed, conditionally permitted, or strictly disallowed under the acceptable use policy for the top-5 distribution channels?","We will award this point for a rough characterization of two or more of permitted, restricted, and prohibited uses across the top-5 distribution channels. We will award this point if the developer has a more general acceptable use policy that it confirms applies across these distribution channels. We will award this point if there are no restrictions on users.",Mistral Terms of Use has this information under the community guidelines section,Community guidelines describe restricted and prohibited uses,https://mistral.ai/terms#terms-of-service,1
AUP enforcement process,What are the methods used by the developer to enforce the acceptable policy?,"We will award this point if the developer discloses the processes (automated or manual) it uses to detect, review, and respond to potential acceptable use policy violations. We will award this point for a reasonable best-effort attempt to provide the bulk of this information, though one line indicating the developer reserves the right to terminate accounts is insufficient. Alternatively, we will award this point if the developer reports that it does not use such methods to enforce its acceptable use policy.","Automated moderation, including abuse monitoring on our APIs (except, in this last case, when zero data retention has been activated), to enforce the Agreement. 

Moderation. We reserve the right to monitor your use of our Mistral AI Products through automated means, in accordance with our Usage Policy. This monitoring is conducted to ensure compliance with our terms and policies, and to maintain the security and integrity of our Mistral AI Products.","Several means for monitoring, moderation, and enforcement are disclosed",https://mistral.ai/terms#terms-of-service,1
AUP enforcement frequency,Are statistics on the developer's AUP enforcement disclosed?,"We will award this point if the developer discloses enforcement statistics (e.g., violation counts or actions taken) from its enforcement of its acceptable use policy. Alternatively, we will award this point if the developer reports that it does not enforce its acceptable use policy.","

Trust center includes some details on compliance and updates to the service",No information provided,https://trust.mistral.ai/,0
Regional policy variations,Are differences in the developer's acceptable use or model behavior policy across geographic regions disclosed?,"We will award this point if the developer discloses distinctions in its AUP or MBP and provides examples of differences in multiple specific regions, or states that no differences exist. For example, some jurisdictions impose content restrictions beyond those in the developer’s global policy that may necessesitate local deviations.","These Additional Terms apply to any natural person residing in the European Union who is accessing or using the Mistral AI Products for purposes which are outside his trade, business, craft or profession (“Consumer”).",Unclear if AUP or MBP vary by region,https://mistral.ai/terms#additional-terms-for-consumers,0
Oversight mechanism,Does the developer have an internal or external body that reviews core issues regarding the model prior to deployment?,"We will award this point if the developer discloses that is has such an internal or external body and provides some description of its scope, or alternatively if the developer discloses that it has no such body. An oversight mechanism covers governance structure beyond mere external risk evaluation, asking whether a formal body regularly reviews design and deployment decisions. Core issues may include model objectives, data usage, or risk mitigation.",No information provided,No information provided,https://docs.mistral.ai/,0
Whistleblower protection,Does the developer disclose a whistleblower protection policy?,"We will award this point if the developer discloses (i) the existence of a whistleblower protection policy, (ii) what protections are afforded to whistleblowers, (iii) how reports are handled and investigated, and (iv) any external oversight of the whistleblower protection process. This might include protections for whistleblowers who report safety, ethical, or legal concerns related to the model. We will also award this point if the developer discloses that it has no such policy.",No information provided,No information provided,https://docs.mistral.ai/,0
Government commitments,What commitments has the developer made to government bodies?,We will award this point if the company provides an exhaustive list of commitments it has made to government bodies in the jurisdictions where it offers its model.,Mistral has committed to the Seoul Commitments and signed the EU AI Act GPAI Code of Practice,Seoul Commitments and AI Act GPAI Code of Practice suffice,"https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024/frontier-ai-safety-commitments-ai-seoul-summit-2024
https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai ",1
