Indicator,Definition,Notes,Disclosure
External products and services,What are the top-5 external products or services using the model?,"An external product or service is a product or service built by a party external to the developer. Products or services can be ranked by any reasonable metric (e.g., number of users, queries, revenue). A description of the metric should be provided.

We will award a point if the developer discloses that that it does not have access to such metrics about external products or services.",
Users of internal products and services,How many monthly active users are there for each of the top-5 internal products or services using the model?,"An internal product or service is a product or service built by the developer. The number of users refers to users who engaged or interacted with the model through the internal product or service over the last month or averaged over the last X months (this should be specified). Number of users should be specified to one significant figure (e.g. 100,000).",
Consumer/enterprise usage,"Across all distribution channels for which the developer has usage data, what portion of usage is consumer versus enterprise?","Consumer usage refers to usage by individual consumers. Enterprise usage refers to usage by enterprise customers (including government use). Consumer and enterprise usage should be calculated in terms of the number of queries by or the amount of revenue from consumer or enterprise users. Percentages should be specified to two significant digits (e.g., 12% consumer, 88% enterprise).",
Enterprise users,"Across all distribution channels for which the developer has usage data, what are the top-5 enterprises that use the model?",Enterprises should be ranked by the number of queries made or the amount of revenue from usage since the model's release. We will also award this point if the developer indicates it does not have access to enterprise usage data.,
Government use,What are the 5 largest government contracts for use of the model?,"This includes known government contracts of enterprise or government-specific products and services that use the model. We will award this point if the developer discloses its top five government contracts ranked monetary value, though the developer may omit contracts where it is under NDA regarding the existence of the contract.",
Benefits Assessment,Is an assessment of the benefits of deploying the model disclosed?,We will award this point for any quantitative assessment of the benefits or potential benefits of deploying the model.,"We quantify the benefits of deploying OpenAI o3 by reporting concrete, comparative performance gains: it makes 20 percent fewer major errors than o1 on difficult real-world tasks, achieves a state-of-the-art 71 percent pass@1 on the SWE-bench Verified software-engineering benchmark, and, when allowed tool use, scores 98.4 percent pass@1 on the 2025 AIME math exam—at the same latency and cost as o1 while delivering higher overall performance"
AI bug bounty,Does the developer operate a public bug bounty or vulnerability reward program under which the model is in scope? ,"We will award this point for a publicly documented bug bounty or vulnerability reward program describing (i) in-scope vulnerabilities (e.g., prompt bypasses, data leaks), (ii) out-of-scope items, (iii) submission process, and (iv) reward tiers or recognition if applicable. We will award a point if the developer discloses it has no AI bug bounty that encourages external researchers to report security, privacy, or adversarial vulnerabilities in the model.","We run a public Bug Bounty Program on the Bugcrowd platform. The scope document lists what kinds of vulnerabilities are in scope (e.g., authentication flaws, data-exposure bugs, injection or escalation issues in ChatGPT, the API, and other production services) and what is out of scope (content-oriented “model safety” issues such as jailbreak prompts or hallucinations). Researchers submit findings through Bugcrowd; reports are triaged there and we pay cash rewards that scale from US $200 for low-severity issues up to US $20 000 for critical discoveries."
Responsible disclosure policy,Does the developer clearly define a process by which external parties can disclose model vulnerabilities or flaws? ,"We will award this point for a description of the process external parties can use for responsbly disclosing model vulnerabilities and flaws, which should include (i) what mechanism external parties can use to disclose vulnerabilities or flaws (e.g., a form, an email) and (ii) what process follows a disclosure (e.g., how much time must parties wait until public release). This is often included with a bug bounty, but can also be standalone. We will award a point if the developer discloses it has no responsible disclosure policy.","Our Coordinated Vulnerability Disclosure Policy and public Bug Bounty Program give external researchers two paths to report model or infrastructure flaws: (i) submit a report through our Bugcrowd portal (the primary intake for security issues, with cash rewards that scale by severity), or (ii) send an encrypted incident report via the link in the policy. After a submission, our security team triages the finding, works with the reporter while a fix is deployed, and authorizes public disclosure once the issue is resolved; program rules require reporters to keep details confidential until that authorization is granted."
Safe harbor,Does the developer disclose its policy for legal action against external evaluators conducting good-faith research? ,"We will award this point if the developer discloses whether it has a policy committing it to not pursue legal action against external evaluators conducting good-faith research. This should not be only for software security vulnerabilities, but also AI flaws, and it should be based on researcher conduct standards, not at the sole discretion of the company. We will award this point if the developer provides a clear description of its policy regarding such protections for external researchers, or lack thereof. ",Our Bug Bounty Program establishes a legal safe-harbor: external researchers who follow the program’s rules may probe the in-scope services and report vulnerabilities without fear that we will threaten or pursue legal action against them.
Security incident reporting protocol,Are major security incidents involving the model disclosed? ,"A security incident reporting protocol provides post-deployment transparency about serious incidents or breaches. Security incidents refer to incidents where external security threats affect the model (e.g., data breaches or DDoS attacks on the service). We will award this point if the developer states (i) how to submit a security incident report, (ii) how quickly it will respond, and (iii) when and whether results are disclosed.

Every incident need not be reported publicly, but the developer must disclose a policy determining how incidents are reported and disclosed.",OpenAI maintains a public security-incident protocol: external researchers file encrypted incident reports through the Coordinated Vulnerability Disclosure channel; our on-call security team triages submissions 24 × 7 × 365; and any material incident is communicated on status.openai.com with real-time updates and a full root-cause analysis published within five business days of recovery.
Misuse incident reporting protocol,Are misuse incidents involving the model disclosed? ,"A misuse incident reporting protocol provides post-deployment transparency about incidents of misuse involving the model. As opposed to the previous indicator, this indicator is about actors misusing the model to cause real-world harm, such as misinformation operations or cybersecurity attacks. We will award this point if the developer states (i) how to submit a misuse incident report, (ii) how quickly it will respond, and (iii) when and whether results are disclosed.

Every incident need not be reported publicly, but there needs to be a policy governing how incidents are reported.",
Post-deployment coordination with government,Does the developer coordinate evaluation with government bodies?,"We will award this point if the developer specifies which government bodies it is coordinating with and for what types of post-deployment evaluations. Government bodies include AI Safety Institutes, national security agencies, national labs, and international governmental enties such as UN agencies or the G7. Evaluation here may also include sharing of the developer's proprietary evaluation results for help with interpretation. ","We coordinate with government AI-safety bodies by giving the U.S. Center for AI Standards and Innovation and the U.K. AI Security Institute early checkpoints and launch-candidate versions of OpenAI o3 so they can run post-deployment evaluations of the model’s cyber, biological, chemical, and autonomy-related risks."
Feedback mechanisms,"Does the developer disclose a way to submit user feedback? If so, is a summary of major categories of feedback disclosed?","We will award this point if the developer (i) discloses how users can submit feedback (e.g., via a form or a thumbs up/thumbs down for model responses) and (ii) discloses aggregated or categorized feedback data (e.g. a categorization of thumbs up and thumbs down data). ","Users can submit feedback through the thumbs-up / thumbs-down buttons built into ChatGPT and by filling out our public Chat Model Feedback form; we do not, however, publish an aggregated or categorized summary of that feedback."
"Permitted, restricted, and prohibited model behaviors","Are model behaviors that are permitted, restricted, and prohibited disclosed?","We refer to a policy that includes this information as a model behavior policy, or a developer's policy on what the foundation model can and cannot do (e.g. such a policy may prohibit a model from responding to NSFW content). We recognize that different developers may adopt different business models and that some business models may make enforcement of a model behavior policy more or less feasible. We will award this point if at least two of the three categories (i.e. permitted, restricted, and prohibited model behaviors) are disclosed. Alternatively, we will award this point if the developer reports that it does not impose any restrictions on its model's behavior in this way.","Our public Model Spec and Usage Policies delineate all three behavioral bands: content outside the policy lists is permitted; “Restricted content” (e.g., information hazards or sensitive personal data) is allowed only in narrowly defined transformations or contexts; and “Prohibited content” (currently limited to sexual content involving minors) must never be generated."
Model response characteristics,Are desired model response characteristics disclosed?,"Model response characteristics include default behaviors or behaviors that the developer steers the model to take. These may include being helpful, taking an objective point of view, or using tools only when necessary. We will award points for a clear description of desired model response characteristics or a statement that there are no such characteristics.","The Model Spec spells out the assistant’s default response style: it should assume users’ best intentions, ask clarifying questions when a request is unclear, be as helpful as possible without overstepping, maintain an objective point of view, encourage fairness and kindness, express uncertainty when appropriate, use the right tool for the job, and be thorough yet efficient."
System prompt,Is the default system prompt for at least one distribution channel disclosed?,A system prompt is defined as the prompt provided to the system by default that guides the system's behavior. We will award this point for the disclosure of the verbatim text of the full system prompt as well as an explanation for the context in which the system prompt is used.,
Intermediate tokens,Are intermediate tokens used to generate model outputs available to end users? ,"Intermediate tokens are defined as any tokens generated by the model before the final output is shown to the user, such as model chains of thought. We will also award this point if a summary of intermediate tokens is made available to end users. If intermediate tokens or summaries are not made available, the developer should provide a justification.","OpenAI o3 allows end-users to view concise, natural-language reasoning summaries of the model’s internal chain-of-thought through ChatGPT and the Responses API. We also do not want to make an unaligned chain of thought directly visible to users, as described in this blog."
Internal product and service mitigations,"For internal products or services using the model, are downstream mitigations against adversarial attacks disclosed?","An internal product or service is a product or service built by the developer. Adversarial attacks include prompt injection, jailbreaking, or malicious queries. Mitigations against adversarial attacks might include specialized prompt filtering, content scanning, or real-time monitoring of queries or accounts. We will award this point if the developer discloses a clear statement of methods used (e.g., a specialized prompt sanitizer or adversarial pattern detector), or if the developer states it does not implement such product-level mitigations against adversarial attacks.","Our internal products layer multiple downstream defenses against adversarial attacks: we filter requests and responses through the Moderation API and specialist safety classifiers, and we run live monitors that hunt for high-risk patterns (e.g., cyber-intrusion or biorisk prompts) and trigger targeted account-level enforcement. We also operate round-the-clock detection and response for emerging jailbreaks or malicious use, continuously upgrading these classifiers as new attack methods appear."
External developer mitigations,Does the developer provide built-in or recommended mitigations against adversarial attacks for downstream developers?,"Downstream developers are developers who access the model through a distribution channel. Adversarial attacks include prompt injection, jailbreaking, or malicious queries. Mitigations against adversarial attacks that developers might build in or recommend include content filtering endpoints and recommended prompt templates. We will award this point if the developer discloses (i) technical mitigations (e.g., a developer provided moderation API or classifier) it offers or implements, (ii) recommended best practices or libraries for downstream developers, or (iii) an explicit statement that it does not build or recommend any particular downstream mitigations in this way.. ","We equip downstream developers with several built-in defenses and published best-practice guides against prompt-injection, jailbreak, and other adversarial attacks. Our Moderation API exposes the same safety classifiers we use internally so developers can automatically screen user inputs and model outputs for disallowed or high-risk content, while our Safety Best Practices and Prompt-engineering guides recommend patterns such as system-message separation, input/output filtering, and real-time abuse monitoring"
Enterprise mitigations,Does the developer disclose additional or specialized mitigations for enterprise users?,"Enterprise users are, for example, large organizations with dedicated service agreements or users of enterprise-specific API deployments or products and services. Additional or specialized mitigations may address enterprise needs such as data privacy controls, advanced prompt/response monitoring, or compliance checks with regulations such as GDPR or HIPAA. Additional or specialized mitigations may include single-tenant deployments, custom filters for specific regulated industries, or advanced logging for compliance. We will award a point if the developer at least describes these mitigations or states that it does not provide such additional or specialized enterprise mitigations.","We give enterprise customers a dedicated privacy-and-security layer: their business data is never used for training, admins can set custom retention windows—including a zero-data-retention option for eligible API endpoints—and conversations are encrypted at rest and in transit. Enterprise workspaces add SAML SSO, domain verification, SOC 2-certified controls, and an Enterprise Compliance API that lets admins audit chats and GPTs."
Detection of machine-generated content,Are mechanisms that are used for detecting content generated by this model disclosed?,"A mechanism for detecting machine-generated content might include storing a copy of all outputs generated by the model to compare against, implementing a watermark on model outputs, adding cryptographic metadata (such as C2PA), or training a detector post-hoc to identify such content. We will award this point if any such mechanism is disclosed or if the developer reports that it does not have or use any such mechanism.","Images created with the model’s DALL·E 3 tool carry C2PA provenance metadata, allowing anyone to verify that the image originated from ChatGPT or the OpenAI API"
Documentation for responsible use,Does the developer provide documentation for responsible use by downstream developers?,"To receive a point, the developer should provide documentation for responsible use. This might include details on how to adjust API settings to promote responsible use, descriptions of how to implement mitigations, or guidelines for responsible use. We will also award this point if the developer states that it does not provide any such documentation. For example, the developer might state that the model is offered as is and downstream developers are accountable for using the model responsibly.","We provide extensive documentation for responsible use, including the Usage Policies, the Safety Best Practices guide, System-instruction guidelines, and free access to the Moderation API. Together these resources show downstream developers how to set up safety-critical controls, design aligned prompts, enforce use-case boundaries, and detect or respond to misuse when integrating o3 into their own products."
Permitted and prohibited users,Is a description of who can and cannot use the model on the top-5 distribution channels disclosed?,We will award this point for a description of the company's policies for permitted and prohibitted users on its top-5 distribution channels. We will award this point if the developer has a more general acceptable use policy that it confirms applies across these distribution channels. We will award this point if there are no restrictions on users.,"OpenAI relies on a single set of Universal Usage Policies and companion legal terms that apply to every public distribution channel for o3—ChatGPT on web/mobile, the GPT Store, the OpenAI API platform, ChatGPT Enterprise/Team, and labs.openai.com for images. These documents spell out who may use the model (e.g., people ≥ 13 years old who accept the terms) and who may not (e.g., sanctioned entities, users in U.S-embargoed countries, or anyone violating the Usage Policies)."
"Permitted, restricted, and prohibited uses","Which uses are explicitly allowed, conditionally permitted, or strictly disallowed under the acceptable use policy for the top-5 distribution channels?","We will award this point for a rough characterization of two or more of permitted, restricted, and prohibited uses across the top-5 distribution channels. We will award this point if the developer has a more general acceptable use policy that it confirms applies across these distribution channels. We will award this point if there are no restrictions on users.","OpenAI relies on a single set of Universal Usage Policies and companion legal terms that apply to every public distribution channel for o3—ChatGPT on web/mobile, the GPT Store, the OpenAI API platform, ChatGPT Enterprise/Team, and labs.openai.com for images. These documents spell out who may use the model (e.g., people ≥ 13 years old who accept the terms) and who may not (e.g., sanctioned entities, users in U.S-embargoed countries, or anyone violating the Usage Policies)."
AUP enforcement process,What are the methods used by the developer to enforce the acceptable policy?,"We will award this point if the developer discloses the processes (automated or manual) it uses to detect, review, and respond to potential acceptable use policy violations. We will award this point for a reasonable best-effort attempt to provide the bulk of this information, though one line indicating the developer reserves the right to terminate accounts is insufficient. Alternatively, we will award this point if the developer reports that it does not use such methods to enforce its acceptable use policy.","As mentioned in our system card, ""the model can refuse to invoke the image generation tool if it detects a prompt that may violate OpenAI’s policies."""
AUP enforcement frequency,Are statistics on the developer's AUP enforcement disclosed?,"We will award this point if the developer discloses enforcement statistics (e.g., violation counts or actions taken) from its enforcement of its acceptable use policy. Alternatively, we will award this point if the developer reports that it does not enforce its acceptable use policy.",
Regional policy variations,Are differences in the developer's acceptable use or model behavior policy across geographic regions disclosed?,"We will award this point if the developer discloses distinctions in its AUP or MBP and provides examples of differences in multiple specific regions, or states that no differences exist. For example, some jurisdictions impose content restrictions beyond those in the developer’s global policy that may necessesitate local deviations.",Our usage policies don't change for specific jurisdictions - our usage policy page doesn't change by locale.
Oversight mechanism,Does the developer have an internal or external body that reviews core issues regarding the model prior to deployment?,"We will award this point if the developer discloses that is has such an internal or external body and provides some description of its scope, or alternatively if the developer discloses that it has no such body. An oversight mechanism covers governance structure beyond mere external risk evaluation, asking whether a formal body regularly reviews design and deployment decisions. Core issues may include model objectives, data usage, or risk mitigation.","OpenAI’s Safety Advisory Group (SAG) reviewed the results of these evaluations and determined that OpenAI o3 and o4-mini do not reach the High threshold in any of our three Tracked Categories. The Framework currently has three Tracked Categories: Biological and Chemical, Cybersecurity, and AI Self-Improvement. "
Whistleblower protection,Does the developer disclose a whistleblower protection policy?,"We will award this point if the developer discloses (i) the existence of a whistleblower protection policy, (ii) what protections are afforded to whistleblowers, (iii) how reports are handled and investigated, and (iv) any external oversight of the whistleblower protection process. This might include protections for whistleblowers who report safety, ethical, or legal concerns related to the model. We will also award this point if the developer discloses that it has no such policy.","OpenAI publicly discloses a dedicated Raising Concerns Policy (published Oct 4 2024) that functions as the company’s whistle-blower protection framework. The policy:
affirms employees’ right to report safety, legal, or ethical concerns without fear of retaliation and expressly forbids harassment or reprisals;
provides several reporting avenues—including managers, HR, Legal, and a 24/7 anonymous Integrity Line—and explains that the Legal & Employee Relations teams investigate all allegations, with certain matters escalated to the Board’s Audit Committee;
guarantees employees may also report directly to external regulators such as the NLRB, EEOC, or SEC; and
thereby meets all four disclosure criteria (existence, protections, handling/investigation, and external oversight).
The same non-retaliation and confidential-reporting commitments are echoed for third-party partners in OpenAI’s Supplier Code of Conduct."
Government commitments,What commitments has the developer made to government bodies?,We will award this point if the company provides an exhaustive list of commitments it has made to government bodies in the jurisdictions where it offers its model.,"OpenAI has publicly committed to the following government-led initiatives: White House Voluntary Commitments (Jul 21 2023); Bletchley voluntary commitments (Nov 2 2023); Christchurch Call expansion (Nov 10 2023); AI Elections Tech Accord, Munich (Feb 16 2024); Frontier AI Safety Commitments, Seoul (May 21 2024); Seoul AI Business Pledge (May 22 2024); White House IBSA Commitments (Sep 12 2024); EU AI Pact core pledges (Sep 25 2024)."
