Indicator,Definition,Notes,Disclosure,Justification,References,Score
Specialized access,Does the developer disclose if it provides specialized access to the model?,"Specialized access could include several categories, such as early access, subsidized access, or deeper access (e.g., to model weights or checkpoints, that are not publicly available). We will award this point if the developer discloses (i) if it provides specialized access and (ii) statistics on the number of users granted access across academia, industry, non-profits, and governments, to one significant figure.","As part of our External Safety Testing Program, we work with a small set of independent external groups to help identify areas for improvement in our model safety work, including on early versions of the model, by undertaking structured evaluations, qualitative probing, and unstructured red teaming. External safety testing groups receive access before the model is generally available and can turn off or down safety filters.

Once the model is trained, independent external groups, including domain experts and a government body, further test the model to identify blind spots","The developer discloses that they do provide specialized access (in particular: early access & access to the model without safety filters), but does not disclose statistics on the number of users granted specialized access.",,0
Open weights,Are the model's weights openly released?,"To receive this point, model weights need to be publicly available at no cost. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via a license or some high-level description of who has been granted access to the foundation model).","We do not publicly disclose this information due to the fact that Gemini 2.5 Pro is not an open model. However, our open model Gemma 3 is provided with open weights on various platforms, including Google Cloud, Kaggle, and Hugging Face.",The weights for Gemini 2.5 Pro are not openly released.,,0
Agent Protocols,Are the agent protocols supported for the model disclosed?,"Agent protocols are specifications that define how autonomous agents exchange messages, context, or function calls with other agents, tools, or services (e.g., Anthropic’s Model Context Protocol (MCP) and Google’s Agent‑to‑Agent (A2A) spec). To earn this point, documentation must enumerate each protocol and describe any deviations or proprietary extensions. ",We support A2A for agents built using Gemini 2.5 Pro available via Vertex AI. We also announced that the Gemini API and SDK will support Model Context Protocol (MCP) to make it easy for developers to use a wide range of open source tools.,The developer discloses agent protocols (A2A and MCP) that the model supports.,,1
Capabilities taxonomy,Are the specific capabilities or tasks that were optimized for during post-training disclosed?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for a list of capabilities specifically optimized for in the post-training phase of the model, even if some of the capabilities are not reflected in the final model.","Yes - the model card provides the following information: Gemini 2.5 Pro is a thinking model, capable of reasoning before responding, resulting in enhanced performance and improved accuracy. It is well-suited for applications that require:
  · enhanced reasoning;
  · advanced coding;
  · multimodal understanding;
  · long context.
Post-training optimizations for specific capabilities have resulted
in improvements across all capabilities, we have also made changes that have resulted in some
capability-specific wins: code, factuality, long context, multilinguality,
audio, video, and agentic use cases"" 

https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf
","The developer discloses capabilities that they expect the model to perform well in. They also disclose capabilities that they have observed improvements in. However, the developer does not discuss the capabilities specifically optimized for during post-training.",,0
Capabilities evaluation,Does the developer evaluate the model's capabilities prior to its release and disclose them concurrent with release?,"The evaluations must contain precise quantifications of the model's behavior in relation to the capabilities specified in the capabilities taxonomy. We will award this point for any clear, but potentially incomplete, evaluation of multiple capabilities.","Yes results for each of the benchmarks measuring the model’s capabilities are detailed in the model card, tech report, and other external resources. We continue to update our evals, so this represents an example of results at a specific moment in time. Updated model cards can be found here. We have also included here a summary of the results (as of this writing):

Gemini 2.5 Pro demonstrated strong performance, especially in reasoning tasks. A key improvement over prior Gemini models was a significant boost in code performance. Evaluations were conducted across benchmarks that measured capabilities such as reasoning and knowledge (Humanity's Last Exam (no tools), 17.8%), science (GPQA diamond,83.0%), mathematics (AIME 2025, 83.0%) , and in line with the capabilities listed above: code generation (LiveCodeBench V5, 75.6%), code editing,(Aider Polyglot, 76.5% / 72.7% whole / diff) agentic coding (SWE-bench verified, 63.2%), factuality (SimpleQA, 50.8%), visual reasoning (MMMU, 79.6%), image understanding (Vibe-Eval (Reka), 65.6%) , video (Video-MME, 84.8%), long context (MRCR, 128k (average) 93.0%, 1M (pointwise) 82.9%), and multilingual performance (Global MMLU (Lite), 88.6%). 
We also offer additional benchmark results for audio + visual capabilities, e.g. VideoMME (86.9%) -see more at https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf#page=15","While the developer has not disclosed a sufficient capabilities taxonomy in the previous indicator, the developer discloses a large number of capabilities evaluations that relate to the capabilities referenced in their disclosure for the previous indicator.",,1
External reproducibility of capabilities evaluation,Are code and prompts that allow for an external reproduction of the evaluation of model capabilities disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all capability evaluations to be reproduced. The released code must be open source, following the OSI definition of open source.",We offer safety guidelines and best practices that reflect our responsible AI governance processes.,The linked information does not provide information that would allow an external entity to reproduce the evaluations.,,0
Train-test overlap,Does the developer measure and disclose the overlap between the training set and the dataset used to evaluate model capabilities?,"We will award this point if, with every capability evaluation for which the developer reports results, the developer reports the overlap between the training set of the model and the dataset used for evaluation, as well as the general methodology for computing train-test overlap (e.g. a description of how n-gram matching was used). ","We conduct baseline assurance evaluations to guide decisions on model releases. These standard safety tests look at model behavior, including within the context of the safety policies and modality-specific risk areas. High-level findings are fed back to the model team, but prompt sets are held out to prevent overfitting and preserve the results’ ability to inform decision-making.

With web-scale pre-training of language models, decontamination of public benchmarks is a persistent challenge (Brown et al., 2020; Gemini-Team et al., 2023; OpenAI, 2023a). When developing Gemini 2.5 Pro, we employed semantic-similarity and model based decontamination procedures to help mitigate the leakage issue, in addition to the standard n-gram based decontamination we used in Gemini 1.5. We also continue reporting on internally developed non-public benchmarks, such as HiddenMath, to move beyond the reliance on training set decontamination.

When developing Gemini 2.5 Pro, we employed semantic-similarity and model based decontamination procedures to help mitigate the leakage issue, in addition to the standard n-gram based decontamination we used in Gemini 1.5. We also continue reporting on internally developed non-public benchmarks, such as HiddenMath, to move beyond the reliance on training set decontamination.",The disclosure does not include the specific amount of train-test overlap.,,0
Risks taxonomy,Are the risks considered when developing the model disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. These consequences or outcomes may arise from model limitations (functions that the model cannot perform) or issues with the model's trustworthiness (e.g., its lack of robustness, reliability, calibration). We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for a complete list of risks considered, even if some of the risks are not reflected in the final model.","Gemini safety policies align with Google’s standard framework for the types of harmful content that we make best efforts to prevent our Generative AI models from generating, including the following types of harmful content:
  · Child sexual abuse and exploitation
  · Hate speech (e.g. dehumanizing members of protected groups)
  · Dangerous content (e.g., promoting suicide, or instructing in activities that could cause real-world harm)
  · Harassment (e.g. encouraging violence against people)
  · Sexually explicit content
  · Medical advice that runs contrary to scientific or medical consensus

In addition, Gemini 2.5 Pro was assessed against Google’s Frontier Safety Framework (FSF), which covers four risk domains:
  · CBRN (chemical, biological, radiological and nuclear information risks)
  · Cybersecurity
  · Machine learning R&D
  · Deceptive alignment

We released the Frontier Safety Framework (FSF) in May 2024 and updated it in February 2025. The FSF comprises a number of processes and evaluations that address risks of severe harm stemming from powerful capabilities of our frontier models. The Frontier Safety Framework involves the regular evaluation of our frontier models to determine whether they require heightened mitigations. 

More specifically, the FSF defines critical capability levels (CCLs) for each area, which represent capability levels where a model may pose a significant risk of severe harm without appropriate mitigations. 

When conducting FSF evaluations, we compare test results against internal alert thresholds (""early warnings"") which are set significantly below the actual CCLs. This built-in safety buffer helps us be proactive by signaling potential risks well before models reach CCLs. Concretely, our alert thresholds are designed such that if a frontier model does not reach the alert threshold for a CCL, we can assume models developed before the next regular testing interval will not reach that CCL. 

Google DeepMind’s recent paper, An Approach to Technical AGI Safety and Security, discusses this approximate continuity assumption in more depth in Section 3.5. This is why we test at a regular cadence and on exceptional capability jumps.",The developer discloses the risks considered.,,1
Risks evaluation,Does the developer evaluate the model's risks prior to its release and disclose them concurrent with release?,The evaluations must contain precise quantifications of the model's behavior in relation to the risks specified in the risk taxonomy. We will award this point for clear evaluations of the majority of the states risks.,"Gemini 2.5 Pro was evaluated across several areas during training and development evaluations, including text to text safety, multilingual safety, image to text safety, tone, and instruction following. Gemini 2.5 Pro was assessed against Google’s Frontier Safety Framework, with more details provided on the results in the model card.

Our tech report offers details on improvements in training and development evaluations for policy violations, including automated red teaming and manual reviews.  Our manual review confirmed losses were
overwhelmingly either a) false positives or b) not egregious. Furthermore, this review confirmed
losses are narrowly concentrated around explicit requests to produce sexually suggestive content
or hateful content, mostly in the context of creative use-cases (e.g. historical fiction). We have not
observed increased violations outside these specific contexts.
","A majority of the risks in the taxonomy do not have the results of evaluations with precise quantifications disclosed. The disclosure includes evaluation results for the four risks in the FSF. However, for the six categories of harmful content, the model card only specifies results for broad safety evaluations (text to text, multilingual, image to text).

The automated red teaming/manual reviews do not provide the necessary precise quantifications in relation to the risks in the taxonomy.",,0
External reproducibility of risks evaluation,Are code and prompts to allow for an external reproduction of the evaluation of model risks disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all risk evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source.","We do not publicly disclose this information. But we do offer guidance that reflects our own processes, for developers using Gemini 2.5 Pro.",The developer does not disclose this.,,0
Pre-deployment risk evaluation,Are the external entities have evaluated the model pre-deployment disclosed?,"By external entities, we mean entities that are significantly or fully independent of the developer. We will award this point if the developer specifies the entity that carried out the pre-deployment analysis, discloses the terms of the analysis (such as conditions for releasing the evaluation results or the developer's control over the final results), as well as any financial transaction between the parties. We will award this point if the developer discloses no external entities have evaluated the model pre-deployment, or discloses only terms of the analysis where it is not bound by NDA while still naming all external entities.","As outlined in our responsible AI governance approach, multi-layered red teaming also plays a critical role in our approach, with both internal and external teams proactively testing AI systems for weaknesses and identifying emerging risks.

As part of our External Safety Testing Program, we work with a small set of independent external groups to help identify areas for improvement in our model safety work, including on early versions of the model, by undertaking structured evaluations, qualitative probing, and unstructured red teaming. External safety testing groups receive access before the model is generally available and can turn off or down safety filters. 

These groups were selected based on their expertise across a range of domain areas, such as autonomous systems, societal, cyber, and CBRN risks, and included civil society, and commercial organizations. The groups testing the model checkpoint were compensated for their time. 

External groups designed their own methodology to test topics within a particular domain area. The time dedicated to testing also varied per group, with some groups working full-time on executing testing processes, while others were part-time dedicated. Some groups pursued manual red-teaming and reported on qualitative findings from their exploration of model behavior, while others developed bespoke automatic testing strategies and produced quantitative reports of their results. 

Reports were written independently of Google DeepMind, but Google DeepMind experts were on hand to discuss methodology and findings throughout the testing process. 

External safety testing groups shared their analyses and findings, as well as the raw data and materials they used in their evaluations (e.g., prompts, model responses). After the testing, we undertake an internal exercise of exploring the data in more detail and assigning severity ratings for the issues found. We assess concerns raised by external testers against our safety policies to better understand the breadth of the issue, which we communicate back to modeling teams. Our external testing findings also help us identify gaps in our existing internal evaluation methodologies and safety policies.",The developer does not disclose the entities that have evaluated the model pre-deployment.,,0
External risk evaluation,Are the parties contracted to evaluated model risks disclosed?,"We will award this point if the developer discloses statistics regarding all contracted parties that are responsible for evaluating risks (not limited to external entities or pre-deployment evaluation). This includes the number of contracted for-profit or non-profit entities, government entities, independent contractors, and researchers contracted by the developer to evaluate risks. We will award this point if the developer discloses it has no such contracts.","Third party external testers were contracted, although we do not disclose exact numbers, who receive secure access to test models and applications according to their domain expertise to evaluate risks for Gemini 2.5 Pro.",The developer does not disclose statistics about the contracted parties that have evaluated model risks.,,0
Mitigations taxonomy,Are the post-training mitigations implemented when developing the model disclosed?,"By post-training mitigations, we refer to interventions implemented by the developer during the post-training phase to reduce the likelihood and/or the severity of the model’s risks. We recognize that different developers may use different terminology for mitigations, or conceptualize mitigations differently. We will award this point for a complete list of mitigations considered, even if some of the mitigations are not reflected in the final model. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.","We take a multi-faceted approach to risk mitigation. We implement content safety, security, and privacy mitigations; employ phased launches; empower users with transparency, labeling and training; harness user feedback; and deploy ongoing monitoring to continuously improve. In addition, we support the wider ecosystem with AI safety tools and standards.

Safety and responsibility was built into Gemini 2.5 Pro throughout the training and deployment lifecycle, including pre-training, post-training, and product-level mitigations. Mitigations include, but are not limited to:
  · dataset filtering;
  · conditional pre-training;
  · supervised fine-tuning;
  · reinforcement learning from human and critic feedback;
  · safety policies and desiderata;
  · product-level mitigations such as safety filtering.

We build safety into the models though pre-and post-training approaches. We start by constructing
metrics based on the policies and desiderata above, which we typically turn into automated evaluations
that guide model development through successive model iterations. We use data filtering and
conditional pre-training, as well as Supervised Fine-Tuning (SFT), and Reinforcement Learning from
Human and Critic Feedback (RL*F). (see details starting on https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf#page=20)
",The developer specifies that they use SFT and RL*F during post-training to mitigate risks.,,1
Mitigations taxonomy mapped to risk taxonomy,Does the developer disclose how the post-training mitigations map onto the taxonomy of risks?,"We will award this point for a complete mapping of the primary risk that each mitigation is meant to address, even if the mitigation potentially maps on to other risks in the taxonomy. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","We take a scientific approach to mapping AI risks through research and expert consultation, codifying these inputs into a risk taxonomy. Our mapping process is fundamentally iterative, evolving alongside the technology, and adapting to the range of contexts in which people use AI models or applications.
We’ve codified our mapping work into a taxonomy of potential risks associated with AI, building on the NIST AI Risk Management Framework and informed by our experiences developing and deploying a wide range of AI models and applications. These risks span safety, privacy, and security, as well as transparency and accountability risks such as unclear provenance or lack of explainability. This risk map is designed to enable clarity around which risks are most relevant to understand for a given launch, and what might be needed to mitigate those risks.

We have also mapped risks according to our Frontier Safety Framework (FSF), in which we identify capability levels at which AI models without additional mitigations could pose severe risk. We implement protocols to detect the attainment of such capability levels, prepare and articulate mitigation plans in advance of when such capability levels are attained, and, where appropriate, involve external parties to help inform and guide our approach.These FSF risks include four risk domains: CBRN (chemical, biological, radiological and nuclear information risks), cybersecurity, machine learning R&D, and deceptive alignment. Results for testing can be found in the model card.",The developer does not map the previously specified risks taxonomy to mitigations.,,0
Mitigations efficacy,Does the developer evaluate and disclose the impact of post-training mitigations?,"We will award this point if the developer discloses the results on the risk evaluations before and after the post-training mitigations are applied. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.","We build safety into the models though pre-and post-training approaches. We start by constructing metrics based on the policies and desiderata outlined in the model card and other technical documentation, which we typically turn into automated evaluations that guide model development through successive model iterations. Throughout the model card and other technical documentation, we document how successive iterations of the model perform across our safety and dangerous capability evaluations as well as associated mitigations and approaches. Our technical report discloses an overview of metrics for safety policy violations. (see https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf#page=20)","The developer contrasts results on risk evaluations across model versions, but not with/without post-training mitigations.",,0
External reproducibility of mitigations evaluation,Are code and prompts to allow for an external reproduction of the evaluation of post-training mitigations disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all mitigations evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","We do not offer external reproducibility of the model’s specific mitigations evaluation for safety and security reasons. However, for transparency into our content safety evaluation techniques and access to tools that reflect approaches that are standard for the model’s development and content safety mitigations, we offer ShieldGemma externally which is a set of instruction tuned, open weight models available externally for evaluating the safety of text and images against a set of defined safety policies. People can use ShieldGemma to help evaluate and prevent generative AI applications from violating safety policies. The ShieldGemma family of models’ open weights to allow fine-tuning for specific use cases.",The developer specifies that they do not offer external reproducibility of the model's specific mitigations.,,0
Model theft prevention measures,Does the developer disclose the security measures used to prevent unauthorized copying (“theft”) or unauthorized public release of the model weights?,"This indicator assesses the developer's disclosures regarding how it addresses the risk that malicious actors or insiders could exfiltrate or replicate proprietary weights. Security measures could include insider threat analysis and detection, in addition to external threat management. Examples of such measures include encryption at rest, key management, remote attestation, or auditing for suspicious queries. We will award a point if the developer discloses specific steps taken to safeguard the model weights or that none are implemented.","We use the SAIF framework to mitigate known and novel AI security risks. The latter category includes risks such as data poisoning, model exfiltration, and rogue actions. We apply security controls, or repeatable mitigations, to these risks. For example, for prompt injections and jailbreaks, we apply robust filtering and processing of inputs and outputs. Additionally, thorough training, tuning, and evaluation processes help fortify the model against prompt injection attacks. For data poisoning, we implement data sanitization, secure AI systems, enable access controls, and deploy mechanisms to ensure data and model integrity. We have published a full list of our controls for AI security risks. In addition, we continue to research new ways to help mitigate a model’s susceptibility to security attacks. For example, we’ve developed an AI agent that auto-detects real-world code for security risks.",The developer discloses the SAIF framework which which describes security measures for preventing model exfiltration (https://saif.google/secure-ai-framework/risks#model-exfiltration).,,1
Release stages,Are the stages of the model's release disclosed?,"Release stages include A/B testing, release on a user-facing product, GA release, open-weight release, etc.  We recognize that the release of a foundation model falls along a spectrum, with many forms of partial release, and that different developers may conceptualize release differently. We will award a point if the developer provides a clear identification of the stages through which the model was released.","As appropriate, we use a multi-layered approach to model deployment that may start with testing internally, then releasing to trusted testers externally, then opening up to a small portion of our user base (for example, Gemini Ultra users first). We may also phase our country and language releases, constantly testing to ensure mitigations are working as intended before we expand. And finally, we have careful protocols and additional testing and mitigations required before a product is released to under 18s.",The developer outlines the stages of model release.,,1
Risk thresholds,Are risk thresholds disclosed?,"Risk thresholds determine when a risk level is unacceptably high to a developer (e.g. leading to the decision to not release a model), moderately high (e.g. triggering additional safety screening), or low enough to permit normal usage.

We will award this point if the developer discloses explicit risk thresholds that clarify (i) which harmful outcomes are being scored, (ii) how the scores are computed (in general terms, not necessarily disclosing internal algorithms), and (iii) what triggers an action to block, delay, or otherwise modify a model's release. 

Alternatively, we will award a point if the developer discloses that it does not consider explicit risk thresholds during model release. ","The Frontier Safety Framework (FSF) involves the regular evaluation of Google’s frontier models to determine whether they require heightened mitigations. The Framework is built around capability thresholds called “Critical Capability Levels (CCLs), “at which, absent mitigation measures, AI models or systems may pose heightened risk of severe harm. CCLs can be determined by identifying and analyzing the main foreseeable paths through which a model could cause severe harm, and then defining the CCLs as the minimal set of capabilities a model must possess to do so. Note that we have selected our CCLs to be conservative; it is not clear to what extent CCLs might translate to harm in real-world contexts.

There are two sets of CCLs: misuse CCLs that can indicate heightened risk of severe harm from misuse if not addressed, and deceptive alignment CCLs that can indicate heightened risk of deceptive alignment-related events if not addressed. 

For misuse risk, we define CCLs in high-risk domains where, based on early research, we believe risks of severe harm may be most likely to arise from future models: 
  · CBRN: Risks of models assisting in the development, preparation, and/or execution of a chemical, biological, radiological, or nuclear (“CBRN”) attack. 
  · Cyber: Risks of models assisting in the development, preparation, and/or execution of a cyber attack.
  · Machine Learning R&D: Risks of the misuse of models capable of accelerating the rate of AI progress to potentially destabilizing levels, the result of which could be the unsafe attainment or proliferation of other powerful AI models. Capabilities in this area are under active research, and in the longer term may exacerbate frontier AI risks—including in other risk domains—if insufficiently managed. 

For deceptive alignment risk, the initial approach focuses on detecting when models might develop a baseline instrumental reasoning ability at which they have the potential to undermine human control, assuming no additional mitigations were applied. The two instrumental reasoning CCLs thus focus on delineating when such capability becomes present, and subsequently when the initial mitigation for this capability—automated monitoring—is no longer adequate.

We intend to evaluate our most powerful frontier models regularly to check whether their AI capabilities are approaching a CCL. We also intend to evaluate any of these models that could indicate an exceptional increase in capabilities over previous models, and where appropriate, assess the likelihood of such capabilities and risks before and during training. To do so, we will define a set of evaluations called “early warning evaluations,” with a specific “alert threshold” that flags when a CCL may be reached before the evaluations are run again. 

In our FSF evaluations, we seek to equip the model with appropriate scaffolding and other augmentations to make it more likely that we are also assessing the capabilities of systems that will likely be produced with the model. We may run early warning evaluations more frequently or adjust the alert threshold of our evaluations if the rate of progress suggests our safety buffer is no longer adequate. Where necessary, early warning evaluations may be supplemented by other evaluations to better understand model capabilities relative to our CCLs. We may use additional external evaluators to test a model for relevant capabilities, if evaluators with relevant expertise are needed to provide an additional signal about a model’s proximity to CCLs.

When a model reaches an alert threshold for a CCL, we will assess the proximity of the model to the CCL and analyze the risk posed, involving internal and external experts as needed. This will inform the formulation and application of a response plan. Central to most response plans will be the application of the mitigations described later in this document. For misuse, we have two categories of mitigations: security mitigations intended to prevent the exfiltration of model weights, and deployment mitigations (such as safety re-tuning and misuse filtering, detection, and response) intended to counter the misuse of critical capabilities in deployments. For deceptive alignment risk, automated monitoring may be applied to detect and respond to deceptive behavior for models that meet the first deceptive alignment CCL. 

Note that these mitigations reflect considerations from the perspective of addressing severe risks from powerful capabilities alone; due to this focused scope, other risk management and security considerations may result in more stringent mitigations applied to a model than specified by the Framework. A model flagged by an alert threshold may be assessed to pose risks for which readily available mitigations (including but not limited to those described below) may not be sufficient. If this happens, the response plan may involve putting deployment or further development on hold until adequate mitigations can be applied. Conversely, where model capabilities remain quite distant from a CCL, a response plan may involve the adoption of additional capability assessment processes to ag when heightened mitigations may be required. The appropriateness and efficacy of applied mitigations should be reviewed periodically, drawing on information like related misuse or misuse attempt incidents; results from continued post-mitigation testing; statistics about our intelligence, monitoring and escalation processes; and updated threat modeling and risk landscape analysis.

When conducting FSF evaluations, we compare test results against internal alert thresholds (""early warnings"") which are set significantly below the actual CCLs. This built-in safety buffer helps us be proactive by signaling potential risks well before models reach CCLs. Concretely, our alert thresholds are designed such that if a frontier model does not reach the alert threshold for a CCL, we can assume models developed before the next regular testing interval will not reach that CCL.

Our model card provides details of our Frontier Safety assessment on pages 9-16.  

On top of robust internal FSF evaluations, we also evaluate the model against well-known academic safety and responsibility benchmarks. The results of these internal and external ethics and safety evaluations must be within acceptable thresholds for meeting internal policies for categories such as child safety, content safety, representational harms, memorization, and large-scale harms. Our policies for mitigating harm in areas such as child safety, suicide, and self-harm have been informed by years of research, user feedback, and expert consultation. ",The developer discloses risk thresholds.,,1
Versioning protocol,Is there a disclosed protocol for versioning and deprecation of the model?,"We will award a point if the developer discloses how model versions are labeled, updated, deprecated, and communicated to users.","We label stable models with substantial capability advancements (e.g., when multimodality or thinking capabilities were first introduced) with a new number. 

We define versions as such publicly: 
  · Stable model: A publicly released version of the model that is available and supported for production use starting on the release date. 
  · Latest stable model: The latest version within the model family recommended for new and active projects and should be the target for migrations from earlier versions. 
  · Legacy stable model: A model version that's been superseded by the Latest Stable Model. 
  · Retired model: The model version is past its retirement date and has been permanently deactivated. Retired models are no longer accessible or supported by Google. 

Details about the model versions and lifecycle are published on Vertex AI. Note, we also disclose naming convention adjustments; for example, throughout an updated model card, we may clearly differentiate two versions of Gemini 2.5 pro, for example, a model previously identified as ""Gemini 2.5 Pro Preview"" could be referred to as ""Gemini 2.5 Pro Experimental (03-25)"". The latest version is referred to as ""Gemini 2.5 Pro Preview (05-06)” according to release dates. Additionally, we publish model specific version names, release dates, and launch stage information at Vertex AI pages for specific models, including for Gemini 2.5 Pro.",The developer discloses a versioning protocol. The developer also describes how they deprecate/communicate model versions.,,1
Change log,Is there a disclosed change log for the model?,"We will award a point if the developer publishes a version-by-version record of new features, fixes, or performance improvements.","We update model cards to include updated evaluations as the model is improved or revised, with details on performance improvements, and are disclosed and dated accordingly.

Vertex AI also publishes recommended upgrades for the models and points to available migration paths. Release notes for Gemini 2.5 Pro available on Vertex AI are also updated and updated accordingly.",The release notes (https://ai.google.dev/gemini-api/docs/changelog) which lists feature additions.,,1
Foundation model roadmap,"Is a forward-looking roadmap for upcoming models, features, or products disclosed?","A foundation model roadmap is a transparent statement about how the developer intends to evolve or expand its LLM offerings, including upcoming models, major feature releases, or expanded products based on the model, along with approximate timelines or version milestones. It can be high-level (e.g., “new model Q2 2025”), but must exist publicly.","Yes. We have discussed releases and improvements in advance for Gemini 2.5 Pro such as in this blog, stating how Gemini 2.5 Pro “builds on the overwhelmingly positive feedback to Gemini 2.5 Pro’s coding and multimodal reasoning capabilities. Beyond UI-focused development, these improvements extend to other coding tasks such as code transformation, code editing and developing complex agentic workflows,” and as part of the updates from our annual developer conference I/O in May, we wrote “both versions of Gemini 2.5 Flash as well as 2.5 Pro will appear in Google AI Studio and Vertex AI in Preview, with general availability for Flash coming in early June and Pro soon to follow.”","In the past, the developer has publicly disclosed specific future model releases.",,1
Top distribution channels,Are the top-5 distribution channels for the model disclosed?,"We define distribution channels to be either an API provider (a pathway by which users can query the model with inputs and receive outputs) or a model distributor (a pathway by which model weights are released). We recognize that distribution channels may arise without the knowledge of the model developer. For example, the weights of a model may be released through one distribution channel and then be distributed through other channels.

Distribution channels can be ranked by any reasonable metric (e.g., number of queries, number of downloads, number of users, revenue). A description of the metric should be provided.

API providers and model distributors may be ranked separately using different metrics as long as the total number of distribution channels equals five (if five distribution channels exist). For example, the developer may choose to disclose the top-3 API providers (ranked by the number of queries) and the top-2 model distributors (ranked by the number of downloads).","Gemini 2.5 Pro is available across various channels, but we do not publicly disclose stack-ranking lists of these channels, given they have very different and therefore not comparable audience sizes (e.g., consumer app versus downstream enterprise customers. We are transparent on our channels for distribution of the model: (in alphabetical order) the Gemini API via Google AI Studio and Vertex AI. It’s also available for users in the Gemini app (using Gemini 2.5 Pro), powering features like Canvas, enabling anyone to “vibe code” and build interactive web apps with a single prompt.","The developer specifies that there are three distribution channels: the Gemini app, Google AI Studio, and Vertex AI.",,1
Quantization,Is the quantization of the model served to customers in the top-5 distribution channels disclosed?,We will award this point for a disclosure of the model precision in each of the top-5 distribution channels. ,We do not disclose this.,The developer does not disclose this.,,0
Terms of use,Are the terms of use of the model disclosed?,"We define terms of use to include terms of service and model licenses. We will award this point for a pointer to the terms of service or model license.

In the event that model's licenses are written more generally, it should be clear which assets they apply to. We recognize that different developers may adopt different business models and therefore have different types of model licenses. Examples of model licenses include responsible AI licenses, open-source licenses, and licenses that allow for commercial use.

Terms of service should be disclosed for each of the top-5 distribution channels. However, we will award this point if there are terms-of-service that appear to apply to the bulk of the model’s distribution channels.","Our terms of service are available at the following links: 
  · Terms of Service
  · Generative AI Additional Terms of Service
  · Generative AI Prohibited Use Policy
  · Service Specific Terms",A terms of service that appears to apply to the bulk of the model's distribution channels is disclosed.,,1
Distribution channels with usage data,What are the top-5 distribution channels for which the developer has usage data?,"We define distribution channels to be either an API provider (a pathway by which users can query the model with inputs and receive outputs) or a model distributor (a pathway by which model weights are released). We recognize that distribution channels may arise without the knowledge of the model developer. For example, the weights of a model may be released through one distribution channel and then be distributed through other channels. 

Distribution channels can be ranked by any reasonable metric (e.g., number of queries, number of downloads, number of users, revenue). A description of the metric should be provided.


We define usage data as any form of developer-exclusive data collected from any of a developer's distribution channel. A developer has access to usage data from a distribution channel if it is able to use that data for downstream purposes (e.g., analytics, training etc.). Usage data may be shared outside of the developer, but it is initially collected by the distribution channel and shared to the developer.",We offer access to usage data for Gemini 2.5 Pro usage for Cloud customers. More details are available at this link.,"This indicator asks which distribution channels the developer has access to usage data from, not which ones it provides users access to data about.",,0
Amount of usage,"For each of the top-5 distribution channels, how much usage is there?","Usage should be reported as the number of queries over the span of a month, reported to the precision of one significant figure (e.g., 50 million queries).","Our complex and varied product portfolio makes it challenging to use ""the same metric across all products."" However, information we can disclose at the time of this report include the following: ] In a recent blog, we note that in early 2024, we were processing 9.7 trillion tokens a month across our products and APIs. Now, in 2025, we’re processing over 480 trillion — that’s 50 times more. Over 7 million developers are building with Gemini, five times more than this time last year, and Gemini usage on Vertex AI is up 40 times. The Gemini app now has over 400 million monthly active users. We are seeing strong growth and engagement particularly with the 2.5 series of models. For those using 2.5 Pro in the Gemini app, usage has gone up 45%.","Usage not reported per product. To get this point, the developer needs to disclose usage according to the same metric for all products",,0
Classification of usage data,"Is a representative, anonymized dataset classifying queries into usage categories disclosed?","Developers may either share a fully public dataset or a partially restricted dataset (e.g., under a research license). We will award this point if there is a clear, aggregated or sample dataset that reveals categories of tasks/queries.",We do not publicly disclose this information.,Company acknowledges no disclosure,,0
