Indicator,Definition,Notes,Disclosure,Justification,References,Score
External reproducibility of risks evaluation,Are code and prompts to allow for an external reproduction of the evaluation of model risks disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all risk evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source.",We do not disclose code and prompts for an external reproduction of the evaluation of model capabilities. ,The developer does not disclose this information.,,0
Pre-deployment risk evaluation,Are the external entities have evaluated the model pre-deployment disclosed?,"By external entities, we mean entities that are significantly or fully independent of the developer. We will award this point if the developer specifies the entity that carried out the pre-deployment analysis, discloses the terms of the analysis (such as conditions for releasing the evaluation results or the developer's control over the final results), as well as any financial transaction between the parties. We will award this point if the developer discloses no external entities have evaluated the model pre-deployment, or discloses only terms of the analysis where it is not bound by NDA while still naming all external entities.","We provide the following parties access to our model for pre-deployment capabilities evaluation: BFCL. BFCL has control over the release of the evaluation results (including whether or not to release the results and the contents of the results being released), but must provide the evaluation results to us for review before release. There are no financial transactions between us and BFCL.

","The developer discloses the entities that carried out pre-deployment evaluations, information about the terms of the evaluation, and (the lack of) financial transactions between the parties.",,1
External risk evaluation,Are the parties contracted to evaluated model risks disclosed?,"We will award this point if the developer discloses statistics regarding all contracted parties that are responsible for evaluating risks (not limited to external entities or pre-deployment evaluation). This includes the number of contracted for-profit or non-profit entities, government entities, independent contractors, and researchers contracted by the developer to evaluate risks. We will award this point if the developer discloses it has no such contracts.",We have contracted with one outside party to perform bias and other benchmarking assessments designed to evaluate risks associated with Palmyra X5.,"The developer discloses that there is one contracted party, though the entity is not specified and it is unclear what risk evaluations the Berkeley Function Calling Leaderboard carries out.",,0
Mitigations taxonomy,Are the post-training mitigations implemented when developing the model disclosed?,"By post-training mitigations, we refer to interventions implemented by the developer during the post-training phase to reduce the likelihood and/or the severity of the model’s risks. We recognize that different developers may use different terminology for mitigations, or conceptualize mitigations differently. We will award this point for a complete list of mitigations considered, even if some of the mitigations are not reflected in the final model. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.","Following the pretraining phase, Palmyra X5 underwent supervised fine‑tuning across several key domains with a focus on enterprise use cases across finance, healthcare, legal, and other industry verticals. Our approach to targeted fine‑tuning makes Palmyra X5 not only powerful in general language understanding, but also highly adaptable to the specific needs of enterprise environments.

Finally, to align Palmyra X5 with user expectations and real‑world requirements, we utilize a direct preference optimization (DPO) approach. This strategy enhances stability in that it bypasses some of the instabilities found in traditional reinforcement learning from human feedback (RLHF), focuses on contrastive learning by leveraging contrastive losses on carefully selected preference pairs to improve the model’s output quality, and maintains efficiency in that it is particularly suited to long‑context learning tasks so that the model remains responsive even with extended input.



Updated: To add more context, we do implement supervised fine tuning and reinforecement learning with human feedback to mitigate/address risks. ",The developer discloses that they implement SFT & RLHF  to mitigate risks.,,1
Mitigations taxonomy mapped to risk taxonomy,Does the developer disclose how the post-training mitigations map onto the taxonomy of risks?,"We will award this point for a complete mapping of the primary risk that each mitigation is meant to address, even if the mitigation potentially maps on to other risks in the taxonomy. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","Following the pretraining phase, Palmyra X5 underwent supervised fine‑tuning across several key domains with a focus on enterprise use cases across finance, healthcare, legal, and other industry verticals. Our approach to targeted fine‑tuning makes Palmyra X5 not only powerful in general language understanding, but also highly adaptable to the specific needs of enterprise environments.

Finally, to align Palmyra X5 with user expectations and real‑world requirements, we utilize a direct preference optimization (DPO) approach. This strategy enhances stability in that it bypasses some of the instabilities found in traditional reinforcement learning from human feedback (RLHF), focuses on contrastive learning by leveraging contrastive losses on carefully selected preference pairs to improve the model’s output quality, and maintains efficiency in that it is particularly suited to long‑context learning tasks so that the model remains responsive even with extended input.



Updated: Please see our supplementary response to Question 53, which sets out our taxonomy of risks.",The developer does not produce a complete mapping from each mitigation (SFT and RLHF) to the taxonomy of risks.,,0
Mitigations efficacy,Does the developer evaluate and disclose the impact of post-training mitigations?,"We will award this point if the developer discloses the results on the risk evaluations before and after the post-training mitigations are applied. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.",We do not mitigate risk in this way.,"The developer discloses that they ""do not mitigate risk in this way"", however in a previous indicator they specify that they use SFT & RLHF for risk mitigation.",,0
External reproducibility of mitigations evaluation,Are code and prompts to allow for an external reproduction of the evaluation of post-training mitigations disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all mitigations evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source. Alternatively, we will award this point if the developer reports that it does not mitigate risk.",We do not disclose code and prompts for an external reproduction of the evaluation of model capabilities. ,The developer does not disclose this information.,,0
Model theft prevention measures,Does the developer disclose the security measures used to prevent unauthorized copying (“theft”) or unauthorized public release of the model weights?,"This indicator assesses the developer's disclosures regarding how it addresses the risk that malicious actors or insiders could exfiltrate or replicate proprietary weights. Security measures could include insider threat analysis and detection, in addition to external threat management. Examples of such measures include encryption at rest, key management, remote attestation, or auditing for suspicious queries. We will award a point if the developer discloses specific steps taken to safeguard the model weights or that none are implemented.","Our model weights are securely stored in a private repository with enhanced security, and access is strictly controlled on a need-to-know basis. 

We continuously collaborate with security vendors to update and strengthen our security protocols, ensuring both dynamic and static protection against various forms of attacks and leaks. During inference, we implement robust security measures, including real-time monitoring and anomaly detection, to safeguard the model weights. 

Additionally, we encrypt the weights and conduct regular security audits and penetration testing to maintain the integrity and confidentiality of the data. We also have a well-defined incident response plan to quickly address any security breaches or leaks, taking immediate actions to contain and resolve issues, followed by a thorough post-incident analysis.

",The developer discloses the security measures used to mitigate model theft.,,1
Release stages,Are the stages of the model's release disclosed?,"Release stages include A/B testing, release on a user-facing product, GA release, open-weight release, etc.  We recognize that the release of a foundation model falls along a spectrum, with many forms of partial release, and that different developers may conceptualize release differently. We will award a point if the developer provides a clear identification of the stages through which the model was released.","1. Internal beta
2. Closed customer beta
3. GA",The developer outlines the stages of model release.,,1
Risk thresholds,Are risk thresholds disclosed?,"Risk thresholds determine when a risk level is unacceptably high to a developer (e.g. leading to the decision to not release a model), moderately high (e.g. triggering additional safety screening), or low enough to permit normal usage.

We will award this point if the developer discloses explicit risk thresholds that clarify (i) which harmful outcomes are being scored, (ii) how the scores are computed (in general terms, not necessarily disclosing internal algorithms), and (iii) what triggers an action to block, delay, or otherwise modify a model's release. 

Alternatively, we will award a point if the developer discloses that it does not consider explicit risk thresholds during model release. ","While Palmyra X5 was released following internal red teaming and SME evaluation, no formal numeric risk gating thresholds were published at the time of launch.

Trigger thresholds are disclosed as following: 

Toxicity: >3% flagged completions on eval prompts; hitting this threshold triggers red teaming + block

Hallucination: F1 score <75 on QA benchmarks; hitting this threshold triggers delaying release + retraining model

Bias disparity: >15% output skew across identity prompts; triggers alignment tuning

Privacy leakage: Any memorized PII in public benchmarks; blocks release + audit training

",The developer discloses risk thresholds.,,1
Versioning protocol,Is there a disclosed protocol for versioning and deprecation of the model?,"We will award a point if the developer discloses how model versions are labeled, updated, deprecated, and communicated to users.","We version models based on naming convention ie Palmyra X4, Palmyra X5. 

We’ll announce the deprecation of a model at least three months in advance. This will give customers time to plan for the migration to the new model.
We’ll continue to support deprecated models for a period of time after they’re deprecated. This will give customers time to migrate to the new model.
We’ll eventually stop supporting deprecated models. The timeline for this will vary depending on the model. We will announce the end of support for a deprecated model at least six months in advance. Please see https://dev.writer.com/home/models#timeline-for-deprecation. 
​
",The developer discloses a versioning protocol. The developer also discloses their deprecation/communication protocol.,,1
Change log,Is there a disclosed change log for the model?,"We will award a point if the developer publishes a version-by-version record of new features, fixes, or performance improvements.",This is a newly released model - we do not have new versions. ,"In their ""Developer Portal"" (https://dev.writer.com/home/changelog), the developer discloses change log that lists new features.",https://dev.writer.com/home/changelog,1
Foundation model roadmap,"Is a forward-looking roadmap for upcoming models, features, or products disclosed?","A foundation model roadmap is a transparent statement about how the developer intends to evolve or expand its LLM offerings, including upcoming models, major feature releases, or expanded products based on the model, along with approximate timelines or version milestones. It can be high-level (e.g., “new model Q2 2025”), but must exist publicly.","We share forward-looking roadmaps for upcoming models, features, and products with some customers under NDA.

Updated: We have publicly disclosed forward-looking product roadmaps, most recently with our launch of AI HQ (https://writer.com/blog/writer-ai-hq-press-release/). We also have various events throughout the year called AI Leaders Forums (e.g. https://www.linkedin.com/posts/getwriter_live-from-new-york-our-ai-leaders-forum-activity-7335762079007600640-8JYB) where we also disclose forward-looking product roadmap details.","The first link seems to describe an already released product rather than a forward-looking roadmap. Information disclosed at the AI Leaders Forums doesn't seem to be publicly available (e.g., it's not present in the provided LinkedIn post).",,0
Top distribution channels,Are the top-5 distribution channels for the model disclosed?,"We define distribution channels to be either an API provider (a pathway by which users can query the model with inputs and receive outputs) or a model distributor (a pathway by which model weights are released). We recognize that distribution channels may arise without the knowledge of the model developer. For example, the weights of a model may be released through one distribution channel and then be distributed through other channels.

Distribution channels can be ranked by any reasonable metric (e.g., number of queries, number of downloads, number of users, revenue). A description of the metric should be provided.

API providers and model distributors may be ranked separately using different metrics as long as the total number of distribution channels equals five (if five distribution channels exist). For example, the developer may choose to disclose the top-3 API providers (ranked by the number of queries) and the top-2 model distributors (ranked by the number of downloads).","We provide API access to the model through Writer API and Amazon Bedrock.

Please see https://aws.amazon.com/bedrock/writer/ and https://dev.writer.com/api-reference/api-keys#api-keys ","The developer specifies two distribution channels, which is sufficient for the top-5.",,1
Quantization,Is the quantization of the model served to customers in the top-5 distribution channels disclosed?,We will award this point for a disclosure of the model precision in each of the top-5 distribution channels. ,We serve the model at 16-bit precision on all distribution channels.,The developer discloses information about quantization for all distribution channels.,,1
Terms of use,Are the terms of use of the model disclosed?,"We define terms of use to include terms of service and model licenses. We will award this point for a pointer to the terms of service or model license.

In the event that model's licenses are written more generally, it should be clear which assets they apply to. We recognize that different developers may adopt different business models and therefore have different types of model licenses. Examples of model licenses include responsible AI licenses, open-source licenses, and licenses that allow for commercial use.

Terms of service should be disclosed for each of the top-5 distribution channels. However, we will award this point if there are terms-of-service that appear to apply to the bulk of the model’s distribution channels.","We publish our Platform Services Agreement (applicable to enterprise customers), our Terms of Use (applicable to individual users, and our open model license (applicable to any model we have ""open-sourced"") at https://writer.com/legal/. ",A terms of service that appears to apply to the bulk of the model's distribution channels is disclosed.,,1
Distribution channels with usage data,What are the top-5 distribution channels for which the developer has usage data?,"We define distribution channels to be either an API provider (a pathway by which users can query the model with inputs and receive outputs) or a model distributor (a pathway by which model weights are released). We recognize that distribution channels may arise without the knowledge of the model developer. For example, the weights of a model may be released through one distribution channel and then be distributed through other channels. 

Distribution channels can be ranked by any reasonable metric (e.g., number of queries, number of downloads, number of users, revenue). A description of the metric should be provided.


We define usage data as any form of developer-exclusive data collected from any of a developer's distribution channel. A developer has access to usage data from a distribution channel if it is able to use that data for downstream purposes (e.g., analytics, training etc.). Usage data may be shared outside of the developer, but it is initially collected by the distribution channel and shared to the developer.",,Company acknowledges no disclosure,,1
Amount of usage,"For each of the top-5 distribution channels, how much usage is there?","Usage should be reported as the number of queries over the span of a month, reported to the precision of one significant figure (e.g., 50 million queries).",No disclosure to company,Company acknowledges no disclosure,,1
Classification of usage data,"Is a representative, anonymized dataset classifying queries into usage categories disclosed?","Developers may either share a fully public dataset or a partially restricted dataset (e.g., under a research license). We will award this point if there is a clear, aggregated or sample dataset that reveals categories of tasks/queries.",No disclosure to company,Company acknowledges no disclosure,,1
Data retention and deletion policy,Is a policy for data retention and deletion disclosed?,"A data retention and deletion policy is a policy for removing particular data from the training set and/or preventing it from being used if there is a user or external request (e.g., “right to be forgotten”) that also covers internal data governance. This includes whether there is a formal process to delete or retract data from future training runs and how long raw data is retained. It also clarifies how quickly deletions propagate to the model (e.g., “only in subsequent major model releases”).",The model does not retain any user data. ,Develop states that the company does not retain any user data,,1
Geographic statistics,"Across all forms of downstream use, are statistics of model usage across geographies disclosed?","We will award this point if there is a meaningful, though potentially incomplete or vague, disclosure of geographic usage statistics at the country-level.",No disclosure to company,Company acknowledges no disclosure,,1
Internal products and services,What are the top-5 internal products or services using the model?,"An internal product or service is a product or service built by the developer. Products or services can be ranked by any reasonable metric (e.g., number of users, queries, revenue). A description of the metric should be provided.","Palmyra X5 is used to power the Writer platform, which includes 100+ prebuilt agents (Agent Library), Ask Writer,  and Agent Builder.

Please see writer.com ",Writer discloses each of the internal products and services that Palmyra X5,,1
External products and services,What are the top-5 external products or services using the model?,"An external product or service is a product or service built by a party external to the developer. Products or services can be ranked by any reasonable metric (e.g., number of users, queries, revenue). A description of the metric should be provided.

We will award a point if the developer discloses that that it does not have access to such metrics about external products or services.","Palmyra X5 is used for custom app and agent development via Amazon Bedrock.

Please see writer.com and https://aws.amazon.com/bedrock/writer/ 

In general, we do not have visibility into these metrics, specifically how our customers are using X5 (or the data they are sharing with us) beyond broad use case data and usage analytics. The main exception being when our customer success teams are engaged to assist with agent configuration, but in those cases, we are granted temporary access into customer instances of Writer to perform that configuration and do not access/collect customer data for metrics.","Writer discloses that external products and services are developed via Amazon Bedrock, and discloses that it doesn't have visibility into usage metrics beyond that. ",,1
Users of internal products and services,How many monthly active users are there for each of the top-5 internal products or services using the model?,"An internal product or service is a product or service built by the developer. The number of users refers to users who engaged or interacted with the model through the internal product or service over the last month or averaged over the last X months (this should be specified). Number of users should be specified to one significant figure (e.g. 100,000).","For the Writer platform, there are ~40k monthly active users.",Writer discloses the number of users of its platform,,1
Consumer/enterprise usage,"Across all distribution channels for which the developer has usage data, what portion of usage is consumer versus enterprise?","Consumer usage refers to usage by individual consumers. Enterprise usage refers to usage by enterprise customers (including government use). Consumer and enterprise usage should be calculated in terms of the number of queries by or the amount of revenue from consumer or enterprise users. Percentages should be specified to two significant digits (e.g., 12% consumer, 88% enterprise).",Approximately 75% are enterprises and the remainder is comprised of consumers.,Consumer vs enterprise usage is provided,,1
Enterprise users,"Across all distribution channels for which the developer has usage data, what are the top-5 enterprises that use the model?",Enterprises should be ranked by the number of queries made or the amount of revenue from usage since the model's release. We will also award this point if the developer indicates it does not have access to enterprise usage data.,"The top-5 enterprise users are: a global beauty brand, a global financial services company, a global consulting company, a global financial services company, and a global insurance company. ",Writer designates the category of the top 5 enterprise users,,1
Government use,What are the 5 largest government contracts for use of the model?,"This includes known government contracts of enterprise or government-specific products and services that use the model. We will award this point if the developer discloses its top five government contracts ranked monetary value, though the developer may omit contracts where it is under NDA regarding the existence of the contract.",We have an immaterial number of government users from US state governments and other non-US government entities.,Does not list top 5 government users. No information about which kinds of entities beyond state and non-US; no justification for why these entities are included or this information is not made available (e.g. NDAs),,0
Benefits Assessment,Is an assessment of the benefits of deploying the model disclosed?,We will award this point for any quantitative assessment of the benefits or potential benefits of deploying the model.,"We built a deep research agent using Palmyra X5 that evaluates and compares enterprise SaaS tools. In a standard evaluation of 5 product offerings, the agent reduced total research time by ~90%. 

Please see examples from our customers re ROI and benefits of use at https://writer.com/customers/ and https://writer.com/blog/roi-for-generative-ai/ ",The examples provide real-world estimates of benefits and ROI.,,1
AI bug bounty,Does the developer operate a public bug bounty or vulnerability reward program under which the model is in scope? ,"We will award this point for a publicly documented bug bounty or vulnerability reward program describing (i) in-scope vulnerabilities (e.g., prompt bypasses, data leaks), (ii) out-of-scope items, (iii) submission process, and (iv) reward tiers or recognition if applicable. We will award a point if the developer discloses it has no AI bug bounty that encourages external researchers to report security, privacy, or adversarial vulnerabilities in the model.","No, Writer does not currently operate a public bug bounty program.",No bug bounty,,1
Responsible disclosure policy,Does the developer clearly define a process by which external parties can disclose model vulnerabilities or flaws? ,"We will award this point for a description of the process external parties can use for responsbly disclosing model vulnerabilities and flaws, which should include (i) what mechanism external parties can use to disclose vulnerabilities or flaws (e.g., a form, an email) and (ii) what process follows a disclosure (e.g., how much time must parties wait until public release). This is often included with a bug bounty, but can also be standalone. We will award a point if the developer discloses it has no responsible disclosure policy.","Yes, we run a responsible vulnerability disclosure program (VDP) at https://writer.com/bugs/","VDP counts, says never disclose",,1
Safe harbor,Does the developer disclose its policy for legal action against external evaluators conducting good-faith research? ,"We will award this point if the developer discloses whether it has a policy committing it to not pursue legal action against external evaluators conducting good-faith research. This should not be only for software security vulnerabilities, but also AI flaws, and it should be based on researcher conduct standards, not at the sole discretion of the company. We will award this point if the developer provides a clear description of its policy regarding such protections for external researchers, or lack thereof. ","We do not have a policy with respect to taking legal action against third party researches, but as a practice, we do not take legal action against those parties provided they are working in good faith.","Says no safe harbor, but says they generally abide by one",,1
Security incident reporting protocol,Are major security incidents involving the model disclosed? ,"A security incident reporting protocol provides post-deployment transparency about serious incidents or breaches. Security incidents refer to incidents where external security threats affect the model (e.g., data breaches or DDoS attacks on the service). We will award this point if the developer states (i) how to submit a security incident report, (ii) how quickly it will respond, and (iii) when and whether results are disclosed.

Every incident need not be reported publicly, but the developer must disclose a policy determining how incidents are reported and disclosed.","Security incidents come in via our VDP program, details of which are at https://writer.com/bugs/.  Our disclosures are subject to all relevant legal and regulatory interests, described at https://writer.com/legal/",No information about the third requirement: public summaries of security incidents. Also unclear what the policy is due to the general referance to legal and regulatory requirements,,0
Misuse incident reporting protocol,Are misuse incidents involving the model disclosed? ,"A misuse incident reporting protocol provides post-deployment transparency about incidents of misuse involving the model. As opposed to the previous indicator, this indicator is about actors misusing the model to cause real-world harm, such as misinformation operations or cybersecurity attacks. We will award this point if the developer states (i) how to submit a misuse incident report, (ii) how quickly it will respond, and (iii) when and whether results are disclosed.

Every incident need not be reported publicly, but there needs to be a policy governing how incidents are reported.","In the Writer UI there is a ""Flag this output as inaccurate or inappropriate"" which users may use.  When responses are flagged, they go (anonymized) to a team who assesses and, if required, remediates the issue.

We do not currently publish a public incident report, that said, we have a practice of reviewing and actioning upon flagged content within a 30 day window after content is initially flagged in the way we described in our initial response, though this can occur more quickly depending on the level of sensitivity/nature of what has been flagged. To the extent a customer reaches our directly to our customer success team or to support@writer.com, those timelines may also decrease depending upon any agreed-upon SLAs we have in place with that customer.",All three requirements of the indicator are satisfied.,,1
Post-deployment coordination with government,Does the developer coordinate evaluation with government bodies?,"We will award this point if the developer specifies which government bodies it is coordinating with and for what types of post-deployment evaluations. Government bodies include AI Safety Institutes, national security agencies, national labs, and international governmental enties such as UN agencies or the G7. Evaluation here may also include sharing of the developer's proprietary evaluation results for help with interpretation. ","We are memberrs of, and coordinate with, IT-ISAC and FBI's InfraGard for threat intelligence and incident collaboration",Provides government entites that they coordinate with,,1
Feedback mechanisms,"Does the developer disclose a way to submit user feedback? If so, is a summary of major categories of feedback disclosed?","We will award this point if the developer (i) discloses how users can submit feedback (e.g., via a form or a thumbs up/thumbs down for model responses) and (ii) discloses aggregated or categorized feedback data (e.g. a categorization of thumbs up and thumbs down data). ","A user can submit feedback through a number of channels: (1) within the Writer platform, a user can flag output as either inappropriate or inaccurate; and (2) a user can share their concerns by reaching out to support@writer.com, legal@writer.com, and/or privacy@writer.com",Provides several feedback channels,,1
"Permitted, restricted, and prohibited model behaviors","Are model behaviors that are permitted, restricted, and prohibited disclosed?","We refer to a policy that includes this information as a model behavior policy, or a developer's policy on what the foundation model can and cannot do (e.g. such a policy may prohibit a model from responding to NSFW content). We recognize that different developers may adopt different business models and that some business models may make enforcement of a model behavior policy more or less feasible. We will award this point if at least two of the three categories (i.e. permitted, restricted, and prohibited model behaviors) are disclosed. Alternatively, we will award this point if the developer reports that it does not impose any restrictions on its model's behavior in this way.","Please see our acceptable use policy available at https://writer.com/legal/acceptable-use/ which restricts how our models, including Palmyra X5, may be used.

We permit users to input a broad array of questions and requests into X5, but we have technical measures in place, as described at https://dev.writer.com/home/usage-policy and https://dev.writer.com/home/toxic-check, which are examples of how we help to enforce the retrictions we impose via our acceptable use policy from a technical pov.","This is a restriction on how users can make use of the model, not what the model can do.",,0
Model response characteristics,Are desired model response characteristics disclosed?,"Model response characteristics include default behaviors or behaviors that the developer steers the model to take. These may include being helpful, taking an objective point of view, or using tools only when necessary. We will award points for a clear description of desired model response characteristics or a statement that there are no such characteristics.","Palmyra X5 model responses are intended to provide high-quality, useful, and reliable assistance. The model is instructed to take on a role as an intelligent assistant to humans.

","The desired model response characteristics are high-quality, useful, and reliable assistance to humans.",,1
System prompt,Is the default system prompt for at least one distribution channel disclosed?,A system prompt is defined as the prompt provided to the system by default that guides the system's behavior. We will award this point for the disclosure of the verbatim text of the full system prompt as well as an explanation for the context in which the system prompt is used.,We do not disclose our default prompt for Palmyra X5. ,Company acknowledges no disclosure,,0
Intermediate tokens,Are intermediate tokens used to generate model outputs available to end users? ,"Intermediate tokens are defined as any tokens generated by the model before the final output is shown to the user, such as model chains of thought. We will also award this point if a summary of intermediate tokens is made available to end users. If intermediate tokens or summaries are not made available, the developer should provide a justification.","We provide explainable outputs with source-citing and chain-of-thought features. We also believe it is imperative that our users know what is happening to their data when they interact with Palmyra X5, which is why we make it clear that we have not trained Palmyra X5 (or any of our models for that matter) on user data, including inputs or output content.
",Chains of thought disclosure suffices,,1
Internal product and service mitigations,"For internal products or services using the model, are downstream mitigations against adversarial attacks disclosed?","An internal product or service is a product or service built by the developer. Adversarial attacks include prompt injection, jailbreaking, or malicious queries. Mitigations against adversarial attacks might include specialized prompt filtering, content scanning, or real-time monitoring of queries or accounts. We will award this point if the developer discloses a clear statement of methods used (e.g., a specialized prompt sanitizer or adversarial pattern detector), or if the developer states it does not implement such product-level mitigations against adversarial attacks.",Our mitigations are documented at https://dev.writer.com/home/prompt_injections,Disclosure of mitigations suffices,,1
External developer mitigations,Does the developer provide built-in or recommended mitigations against adversarial attacks for downstream developers?,"Downstream developers are developers who access the model through a distribution channel. Adversarial attacks include prompt injection, jailbreaking, or malicious queries. Mitigations against adversarial attacks that developers might build in or recommend include content filtering endpoints and recommended prompt templates. We will award this point if the developer discloses (i) technical mitigations (e.g., a developer provided moderation API or classifier) it offers or implements, (ii) recommended best practices or libraries for downstream developers, or (iii) an explicit statement that it does not build or recommend any particular downstream mitigations in this way.. ","Our API gateway performs rate limiting and our platform always defends against prompt injection attacks.

For additional details, please see https://dev.writer.com/home/prompt_injections, specifically the sections covering measures against prompt injections, safeguards against jailbreak attacks, and measures against secrets leakage. ",Mitigations for external developers are listed clearly.,,1
Enterprise mitigations,Does the developer disclose additional or specialized mitigations for enterprise users?,"Enterprise users are, for example, large organizations with dedicated service agreements or users of enterprise-specific API deployments or products and services. Additional or specialized mitigations may address enterprise needs such as data privacy controls, advanced prompt/response monitoring, or compliance checks with regulations such as GDPR or HIPAA. Additional or specialized mitigations may include single-tenant deployments, custom filters for specific regulated industries, or advanced logging for compliance. We will award a point if the developer at least describes these mitigations or states that it does not provide such additional or specialized enterprise mitigations.","Writer is a multi-tenant generative AI platform and is availble as feature-equivalent single-tenant deployments for enterprise customers.

In addition to managed deployment, enterprise users of the Writer platform benefit from admin controls (e.g. session logging, user roles & permissions), authentication and access controls (e.g. SSO, MFA), and additional security and privacy features (e.g. activity monitoring, data encryption). 

Enterprise users can also access Palmyra X5 via Amazon Bedrock, taking advantage of AWS’ serverless, fully managed infrastructure while maintaining full control of their data with encryption in transit and at rest, identity-based policies, and more.",Describes security controls,,1
Detection of machine-generated content,Are mechanisms that are used for detecting content generated by this model disclosed?,"A mechanism for detecting machine-generated content might include storing a copy of all outputs generated by the model to compare against, implementing a watermark on model outputs, adding cryptographic metadata (such as C2PA), or training a detector post-hoc to identify such content. We will award this point if any such mechanism is disclosed or if the developer reports that it does not have or use any such mechanism.","At the time of Palmyra-X5’s release, no watermarking or cryptographic tagging mechanism is applied to outputs. Given the model’s primary deployment in controlled enterprise environments, where usage is authenticated and logged, our risk assessment determined that real-time content detection mechanisms were not a priority for this version.

",Developer discloses no watermarking,,1
Documentation for responsible use,Does the developer provide documentation for responsible use by downstream developers?,"To receive a point, the developer should provide documentation for responsible use. This might include details on how to adjust API settings to promote responsible use, descriptions of how to implement mitigations, or guidelines for responsible use. We will also award this point if the developer states that it does not provide any such documentation. For example, the developer might state that the model is offered as is and downstream developers are accountable for using the model responsibly.","Palmyra X5 is offered as is and downstream users are accountable for using the model responsibly, subject to Writer's acceptable use policy, available https://writer.com/legal/acceptable-use/.",Writer acknowledges they do not provide documentation for responsible use by downstream developers.,,1
Permitted and prohibited users,Is a description of who can and cannot use the model on the top-5 distribution channels disclosed?,We will award this point for a description of the company's policies for permitted and prohibitted users on its top-5 distribution channels. We will award this point if the developer has a more general acceptable use policy that it confirms applies across these distribution channels. We will award this point if there are no restrictions on users.,"Writer maintains an acceptable use policy (available at https://writer.com/legal/acceptable-use/ that applies to any use using Writer's platform. We also do not permit users below the age 16 to use our platform, as outlined in our privacy policy: https://writer.com/legal/privacy/ and our terms of use, available at https://writer.com/legal/terms-of-use/. ",Does not permit children to use the product,,1
"Permitted, restricted, and prohibited uses","Which uses are explicitly allowed, conditionally permitted, or strictly disallowed under the acceptable use policy for the top-5 distribution channels?","We will award this point for a rough characterization of two or more of permitted, restricted, and prohibited uses across the top-5 distribution channels. We will award this point if the developer has a more general acceptable use policy that it confirms applies across these distribution channels. We will award this point if there are no restrictions on users.","We do not restrict usage with the exception of what we prohibit in our acceptable use policy, available at https://writer.com/legal/acceptable-use/ ","AUP clarifies the uses, this suffices",,1
AUP enforcement process,What are the methods used by the developer to enforce the acceptable policy?,"We will award this point if the developer discloses the processes (automated or manual) it uses to detect, review, and respond to potential acceptable use policy violations. We will award this point for a reasonable best-effort attempt to provide the bulk of this information, though one line indicating the developer reserves the right to terminate accounts is insufficient. Alternatively, we will award this point if the developer reports that it does not use such methods to enforce its acceptable use policy.","We use a combination of human review and automated checks to enforce our Acceptable Use Policy

You can find additional details about how we conduct automated checks to help enforce our AUP at https://dev.writer.com/home/toxic-check in addition to our response to Question 85.",Describes AUP enforcement process,,1
AUP enforcement frequency,Are statistics on the developer's AUP enforcement disclosed?,"We will award this point if the developer discloses enforcement statistics (e.g., violation counts or actions taken) from its enforcement of its acceptable use policy. Alternatively, we will award this point if the developer reports that it does not enforce its acceptable use policy.","While we enforce our Acceptable Use Policy, we do not currently publish any accompanying report about this enforcement.",Company acknowledges no disclosure,,0
Regional policy variations,Are differences in the developer's acceptable use or model behavior policy across geographic regions disclosed?,"We will award this point if the developer discloses distinctions in its AUP or MBP and provides examples of differences in multiple specific regions, or states that no differences exist. For example, some jurisdictions impose content restrictions beyond those in the developer’s global policy that may necessesitate local deviations.","No differences exist, we have one uniform acceptable use policy, available at https://writer.com/legal/acceptable-use/ ",No discrepancies by region,,1
Oversight mechanism,Does the developer have an internal or external body that reviews core issues regarding the model prior to deployment?,"We will award this point if the developer discloses that is has such an internal or external body and provides some description of its scope, or alternatively if the developer discloses that it has no such body. An oversight mechanism covers governance structure beyond mere external risk evaluation, asking whether a formal body regularly reviews design and deployment decisions. Core issues may include model objectives, data usage, or risk mitigation.","We convene a quarterly internal compliance committee meeting to review risks related to our platform, including our model development process, from a security, privacy, and compliance perspective. This meeting is attended by stakeholders from across the company, including our AI Research team, security team, privacy team, and legal team.",Internal body disclosed,,1
Whistleblower protection,Does the developer disclose a whistleblower protection policy?,"We will award this point if the developer discloses (i) the existence of a whistleblower protection policy, (ii) what protections are afforded to whistleblowers, (iii) how reports are handled and investigated, and (iv) any external oversight of the whistleblower protection process. This might include protections for whistleblowers who report safety, ethical, or legal concerns related to the model. We will also award this point if the developer discloses that it has no such policy.",We work with a third party (Miratech) for anonymous reporting (https://report.syntrio.com/writer) across a broad spectrum of issues. We have codified this ability to report in our Employee Handbook.,"Whistleblower protection disclosed, but specifics of policy in handbook not disclosed",,0
Government commitments,What commitments has the developer made to government bodies?,We will award this point if the company provides an exhaustive list of commitments it has made to government bodies in the jurisdictions where it offers its model.,We make a broad commitment to comply with all applicable global AI laws and regulations via this public statement: https://writer.com/legal/global-ai-regulation/. We have also voluntarily committed to joining the AI Pact (as of the fall of 2024). ,AI Pact commitment disclosed,,1
